NR. CRT.,Indicativ drum,De la km,Pana la km,De la data,Pana la data,Intre localitatile,Cauza,Masuri de remediere si variante de ocolire,viz_name,map_zoom
2.11,DN1A,0+000,161+039,2024-07-18 11:00:00,2024-07-18 19:00:00, - ,"Va informam ca in data de 18.07.2024 , in intervalul orar 11:00 - 19:00, se vor institui restrictii de tonaj pentru MTMA > 12 tone pe sectoarele de autostrazi, drumuri expres si drumuri nationale din cauza temperaturilor extreme - (COD ROSU).","Sunt exceptate de la respectarea acestor restrictii: transporturile de persoane transporturile de animale vii si de produse perisabile de origine animala si vegetala vehicule care participa la interventii in caz de forta majora transporturi funerare transporturi postale transporturi de echipamente de prim ajutor transporturi pentru distribuire de carburanti transporturi de marfuri sub temperatura controlata transporturi pentru tractari vehicule avariate transporturi pentru distribuirea de apa si hrana in zonele calamitate transporturi cu vehicule specializate destinate prin constructie salubrizarii transporturi apa imbuteliata si bauturi racoritoare transporturi produse provenite din exploatari agricole transporturi militare implicate in exercitii multinationale transporturi rutiere in cadrul Sistemului Garantie Returnare (SGR) produse alimentare diverse (produse de panificatie, produse de patiserie si de cofetarie proaspete, piscoturi si biscuit, produse de patiserie si de cofetarie conservate, zahar si produse conexe, cacao, ciocolata si produse zaharoase, paste fainoase, cafea, ceai si produse conexe, condimente si mirodenii, produse nutritionale speciale, diverse produse alimentare si produse uscate, sucuri si bauturi alcoolice si nealcoolice, inclusiv apa minerala.De la aceste restrictii mai sunt exceptate utilajele proprii ale CNAIR SA si utilajele firmelor cu care CNAIR SA are contracte de lucrari in derulare.",DN1A,"['0', '0', '161', '39']"
2.12,DN1D,24+469,43+080,2024-07-18 11:00:00,2024-07-18 19:00:00, - ,"Restrictiile de circulatie pe perioada codului rosu de canicula.In data de 18 iulie, intre orele 11.00 si 19.00, autovehiculele cu masa maxima autorizata > 12 tone, nu vor putea circula pe sectoarele de autostrazi, drumuri expres si drumuri nationale cuprinse in judetele Calarasi, Constanta, Ialomita, Tulcea.","Sunt exceptate de la respectarea acestor restrictii:transporturile de persoanetransporturile de animale vii si de produse perisabile de origine animala si vegetalavehiculele care participa la interventii in caz de forta majoratransporturile funeraretransporturile postaletransporturile de echipamente de prim ajutortransporturi pentru distribuire de carburantitransporturile de marfuri sub temperatura controlatatransporturile pentru tractari vehicule avariatetransporturile pentru distribuirea de apa si hrana in zonele calamitatetransporturile cu vehicule specializate destinate prin constructie salubrizariitransporturile de apa imbuteliata si bauturi racoritoaretransporturile de produse provenite din exploatari agricoletransporturile militare implicate in exercitii multinationaletransporturile de produse alimentare diverse (produse de panificatie, produse de patiserie si de cofetarie proaspete, piscoturi si biscuiti, produse de patiserie si de cofetarie conservate, zahar si produse conexe, cacao, ciocolata si produse zaharoase, paste fainoase, cafea, ceai si produse conexe, condimente si mirodenii, produse nutritionale speciale, diverse produse alimentare si produse uscate, sucuri si bauturi alcoolice si nealcoolice, inclusiv apa minerala).De asemenea, pe perioada restrictiilor, aceasta nu se va aplica utilajelor CNAIR S.A. si a celor cu care CNAIR S.A. are raporturi juridice in derulare.",DN1D,"['24', '469', '43', '80']"
2.13,DN2,0+000,25+708,2024-07-18 11:00:00,2024-07-18 19:00:00, - ,"Va informam ca, in perioada 18.07.2024, in intervalul orar 11.00 - 19.00, se vor institui restrictii de tonaj pentru MTMA > 12 tone pe sectoarele de autostrazi, drumuri expres si drumuri nationale din cauza temperaturilor extreme (37 - 42 grade Celsius) - (COD ROSU).","Exceptate de la aceste restrictii sunt:           transporturile de persoane           transporturile de animale vii si de produse perisabile de origine animala si vegetala           vehicule care participa la interventii in caz de forta majora           transporturi funerare           transporturi postale           transporturi de echipamente de prim ajutor           transporturi pentru distribuire de carburanti           transporturi de marfuri sub temperatura controlata           transporturi pentru tractari vehicule avariate           transporturi pentru distribuirea de apa si hrana in zonele calamitate           transporturi cu vehicule specializate destinate prin constructie salubrizarii           transporturi apa imbuteliata           transporturi produse provenite din exploatari agricole           transporturi militare implicate in exercitii multinationale.produse alimentare diverse (produse de panificatie, produse de patiserie si de cofetarie proaspete, piscoturi si biscuit, produse de patiserie si de cofetarie conservate, zahar si produse conexe, cacao, ciocolata si produse zaharoase, paste fainoase, cafea, ceai si produse conexe, condimente si mirodenii, produse nutritionale speciale, diverse produse alimentare si produse uscate, sucuri si bauturi alcoolice si nealcoolice, inclusiv apa minerala.De asemenea, pe perioada restrictiilor vor fi exceptate atat utilajele proprii ale CNAIR, cat si utilajele inchiriate de la firmele cu care CNAIR are contracte de lucrari in derulare.",DN2,"['0', '0', '25', '708']"
2.14,DN2,25+718,67+950,2024-07-18 11:00:00,2024-07-18 19:00:00, - ,"Restrictiile de circulatie pe perioada codului rosu de canicula.In data de 18 iulie, intre orele 11.00 si 19.00, autovehiculele cu masa maxima autorizata > 12 tone, nu vor putea circula pe sectoarele de autostrazi, drumuri expres si drumuri nationale cuprinse in judetele Calarasi, Constanta, Ialomita, Tulcea.","Sunt exceptate de la respectarea acestor restrictii:transporturile de persoanetransporturile de animale vii si de produse perisabile de origine animala si vegetalavehiculele care participa la interventii in caz de forta majoratransporturile funeraretransporturile postaletransporturile de echipamente de prim ajutortransporturi pentru distribuire de carburantitransporturile de marfuri sub temperatura controlatatransporturile pentru tractari vehicule avariatetransporturile pentru distribuirea de apa si hrana in zonele calamitatetransporturile cu vehicule specializate destinate prin constructie salubrizariitransporturile de apa imbuteliata si bauturi racoritoaretransporturile de produse provenite din exploatari agricoletransporturile militare implicate in exercitii multinationaletransporturile de produse alimentare diverse (produse de panificatie, produse de patiserie si de cofetarie proaspete, piscoturi si biscuiti, produse de patiserie si de cofetarie conservate, zahar si produse conexe, cacao, ciocolata si produse zaharoase, paste fainoase, cafea, ceai si produse conexe, condimente si mirodenii, produse nutritionale speciale, diverse produse alimentare si produse uscate, sucuri si bauturi alcoolice si nealcoolice, inclusiv apa minerala).De asemenea, pe perioada restrictiilor, aceasta nu se va aplica utilajelor CNAIR S.A. si a celor cu care CNAIR S.A. are raporturi juridice in derulare.",DN2,"['25', '718', '67', '950']"
2.15,DN2,0+000,25+708,2024-07-18 11:00:00,2024-07-18 19:00:00, - ,"Va informam ca in data de 18.07.2024 , in intervalul orar 11:00 - 19:00, se vor institui restrictii de tonaj pentru MTMA > 12 tone pe sectoarele de autostrazi, drumuri expres si drumuri nationale din cauza temperaturilor extreme - (COD ROSU).","Sunt exceptate de la respectarea acestor restrictii: transporturile de persoane transporturile de animale vii si de produse perisabile de origine animala si vegetala vehicule care participa la interventii in caz de forta majora transporturi funerare transporturi postale transporturi de echipamente de prim ajutor transporturi pentru distribuire de carburanti transporturi de marfuri sub temperatura controlata transporturi pentru tractari vehicule avariate transporturi pentru distribuirea de apa si hrana in zonele calamitate transporturi cu vehicule specializate destinate prin constructie salubrizarii transporturi apa imbuteliata si bauturi racoritoare transporturi produse provenite din exploatari agricole transporturi militare implicate in exercitii multinationale transporturi rutiere in cadrul Sistemului Garantie Returnare (SGR) produse alimentare diverse (produse de panificatie, produse de patiserie si de cofetarie proaspete, piscoturi si biscuit, produse de patiserie si de cofetarie conservate, zahar si produse conexe, cacao, ciocolata si produse zaharoase, paste fainoase, cafea, ceai si produse conexe, condimente si mirodenii, produse nutritionale speciale, diverse produse alimentare si produse uscate, sucuri si bauturi alcoolice si nealcoolice, inclusiv apa minerala.De la aceste restrictii mai sunt exceptate utilajele proprii ale CNAIR SA si utilajele firmelor cu care CNAIR SA are contracte de lucrari in derulare.",DN2,"['0', '0', '25', '708']"
2.16,DN21,0+000,63+200,2024-07-18 11:00:00,2024-07-18 19:00:00, - ,"In data de 18.07.2024 , in intervalul orar 11:00 - 19:00, se vor institui restrictii de circulatie pentru autovehiculele cu masa totala maxima autorizata mai mare de 12 t,  acestea nu vor putea circula pe sectoarele de autostrazi, drumuri expres si drumuri nationale cuprinse in judetul BRAILA.Aceste restrictii sunt instituite ca urmare a avertizarilor de canicula emise de catre Administratia Nationala de Meteorologie in data de 17.07.2024 , Cod Rosu , jud. BRAILA (temperaturi extreme 38 - 41 Grade Celsius) - val de caldura persistent, canicula, disconfort termic deosebit de accentuat.","Se vor institui restrictii de tonaj pentru M.T.M.A > 12 tone, cu exceptia :transporturilor de persoanetransporturilor de animale vii si de produse perisabile de origine animala si vegetala:vehicule care participi la interventii in caz de forta majoratransporturi funeraretransporturi postaletransporturi de echipamente de prim ajutortransporturi pentru distribuire de carburantitransporturi de marfuri sub temperatura controlata:transporturi pentru tractari vehicule avariatetransporturi pentru distribuirea de apa si hrana in zonele calainitatetransporturi cu vehicule specializate destinate prin constructie salubrizariitransporturi apa imbuteliata si bauturi racoritoaretransporturi produse provenite din exploatari agricoletransporturi militare implicate in exercitii multinationaleproduse alimentare diverse (produse de panificatie, produse de patiserie si de cofetarie proaspete, piscoturi si biscuit, produse de patiserie si de cofetarie conservate, zahar si produse conexe, cacao. ciocolata si produse zaharoase, paste fainoase, cafea, ceai si produse conexe, contimente si miiodenii. pioduse nuti itionale speciale, divei.se produse alimentare si produse uscate, sucuri si bauturi alcoolice .si nealcoolice, inclusiv apa minerala).De asemenea, pe perioada restrictiilor, aceasta nu se va aplica utilajelor CNAIR S.A. si a celor cu care CNAIR S.A. are contracte de lucrari in derulare.",DN21,"['0', '0', '63', '200']"
2.17,DN21,63+768,132+249,2024-07-18 11:00:00,2024-07-18 19:00:00, - ,"Restrictiile de circulatie pe perioada codului rosu de canicula.In data de 18 iulie, intre orele 11.00 si 19.00, autovehiculele cu masa maxima autorizata > 12 tone, nu vor putea circula pe sectoarele de autostrazi, drumuri expres si drumuri nationale cuprinse in judetele Calarasi, Constanta, Ialomita, Tulcea.","Sunt exceptate de la respectarea acestor restrictii:transporturile de persoanetransporturile de animale vii si de produse perisabile de origine animala si vegetalavehiculele care participa la interventii in caz de forta majoratransporturile funeraretransporturile postaletransporturile de echipamente de prim ajutortransporturi pentru distribuire de carburantitransporturile de marfuri sub temperatura controlatatransporturile pentru tractari vehicule avariatetransporturile pentru distribuirea de apa si hrana in zonele calamitatetransporturile cu vehicule specializate destinate prin constructie salubrizariitransporturile de apa imbuteliata si bauturi racoritoaretransporturile de produse provenite din exploatari agricoletransporturile militare implicate in exercitii multinationaletransporturile de produse alimentare diverse (produse de panificatie, produse de patiserie si de cofetarie proaspete, piscoturi si biscuiti, produse de patiserie si de cofetarie conservate, zahar si produse conexe, cacao, ciocolata si produse zaharoase, paste fainoase, cafea, ceai si produse conexe, condimente si mirodenii, produse nutritionale speciale, diverse produse alimentare si produse uscate, sucuri si bauturi alcoolice si nealcoolice, inclusiv apa minerala).De asemenea, pe perioada restrictiilor, aceasta nu se va aplica utilajelor CNAIR S.A. si a celor cu care CNAIR S.A. are raporturi juridice in derulare.",DN21,"['63', '768', '132', '249']"
2.18,DN21A,0+000,4+420,2024-07-18 11:00:00,2024-07-18 19:00:00, - ,"In data de 18.07.2024 , in intervalul orar 11:00 - 19:00, se vor institui restrictii de circulatie pentru autovehiculele cu masa totala maxima autorizata mai mare de 12 t,  acestea nu vor putea circula pe sectoarele de autostrazi, drumuri expres si drumuri nationale cuprinse in judetul BRAILA.Aceste restrictii sunt instituite ca urmare a avertizarilor de canicula emise de catre Administratia Nationala de Meteorologie in data de 17.07.2024 , Cod Rosu , jud. BRAILA (temperaturi extreme 38 - 41 Grade Celsius) - val de caldura persistent, canicula, disconfort termic deosebit de accentuat.","Se vor institui restrictii de tonaj pentru M.T.M.A > 12 tone, cu exceptia :transporturilor de persoanetransporturilor de animale vii si de produse perisabile de origine animala si vegetala:vehicule care participi la interventii in caz de forta majoratransporturi funeraretransporturi postaletransporturi de echipamente de prim ajutortransporturi pentru distribuire de carburantitransporturi de marfuri sub temperatura controlata:transporturi pentru tractari vehicule avariatetransporturi pentru distribuirea de apa si hrana in zonele calainitatetransporturi cu vehicule specializate destinate prin constructie salubrizariitransporturi apa imbuteliata si bauturi racoritoaretransporturi produse provenite din exploatari agricoletransporturi militare implicate in exercitii multinationaleproduse alimentare diverse (produse de panificatie, produse de patiserie si de cofetarie proaspete, piscoturi si biscuit, produse de patiserie si de cofetarie conservate, zahar si produse conexe, cacao. ciocolata si produse zaharoase, paste fainoase, cafea, ceai si produse conexe, contimente si miiodenii. pioduse nuti itionale speciale, divei.se produse alimentare si produse uscate, sucuri si bauturi alcoolice .si nealcoolice, inclusiv apa minerala).De asemenea, pe perioada restrictiilor, aceasta nu se va aplica utilajelor CNAIR S.A. si a celor cu care CNAIR S.A. are contracte de lucrari in derulare.",DN21A,"['0', '0', '4', '420']"
2.19,DN21A,4+339,23+366,2024-07-18 11:00:00,2024-07-18 19:00:00, - ,"Restrictiile de circulatie pe perioada codului rosu de canicula.In data de 18 iulie, intre orele 11.00 si 19.00, autovehiculele cu masa maxima autorizata > 12 tone, nu vor putea circula pe sectoarele de autostrazi, drumuri expres si drumuri nationale cuprinse in judetele Calarasi, Constanta, Ialomita, Tulcea.","Sunt exceptate de la respectarea acestor restrictii:transporturile de persoanetransporturile de animale vii si de produse perisabile de origine animala si vegetalavehiculele care participa la interventii in caz de forta majoratransporturile funeraretransporturile postaletransporturile de echipamente de prim ajutortransporturi pentru distribuire de carburantitransporturile de marfuri sub temperatura controlatatransporturile pentru tractari vehicule avariatetransporturile pentru distribuirea de apa si hrana in zonele calamitatetransporturile cu vehicule specializate destinate prin constructie salubrizariitransporturile de apa imbuteliata si bauturi racoritoaretransporturile de produse provenite din exploatari agricoletransporturile militare implicate in exercitii multinationaletransporturile de produse alimentare diverse (produse de panificatie, produse de patiserie si de cofetarie proaspete, piscoturi si biscuiti, produse de patiserie si de cofetarie conservate, zahar si produse conexe, cacao, ciocolata si produse zaharoase, paste fainoase, cafea, ceai si produse conexe, condimente si mirodenii, produse nutritionale speciale, diverse produse alimentare si produse uscate, sucuri si bauturi alcoolice si nealcoolice, inclusiv apa minerala).De asemenea, pe perioada restrictiilor, aceasta nu se va aplica utilajelor CNAIR S.A. si a celor cu care CNAIR S.A. are raporturi juridice in derulare.",DN21A,"['4', '339', '23', '366']"
2.2,DN22,30+000,78+714,2024-07-18 11:00:00,2024-07-18 19:00:00, - ,"In data de 18.07.2024 , in intervalul orar 11:00 - 19:00, se vor institui restrictii de circulatie pentru autovehiculele cu masa totala maxima autorizata mai mare de 12 t,  acestea nu vor putea circula pe sectoarele de autostrazi, drumuri expres si drumuri nationale cuprinse in judetul BRAILA.Aceste restrictii sunt instituite ca urmare a avertizarilor de canicula emise de catre Administratia Nationala de Meteorologie in data de 17.07.2024 , Cod Rosu , jud. BRAILA (temperaturi extreme 38 - 41 Grade Celsius) - val de caldura persistent, canicula, disconfort termic deosebit de accentuat.","Se vor institui restrictii de tonaj pentru M.T.M.A > 12 tone, cu exceptia :transporturilor de persoanetransporturilor de animale vii si de produse perisabile de origine animala si vegetala:vehicule care participi la interventii in caz de forta majoratransporturi funeraretransporturi postaletransporturi de echipamente de prim ajutortransporturi pentru distribuire de carburantitransporturi de marfuri sub temperatura controlata:transporturi pentru tractari vehicule avariatetransporturi pentru distribuirea de apa si hrana in zonele calainitatetransporturi cu vehicule specializate destinate prin constructie salubrizariitransporturi apa imbuteliata si bauturi racoritoaretransporturi produse provenite din exploatari agricoletransporturi militare implicate in exercitii multinationaleproduse alimentare diverse (produse de panificatie, produse de patiserie si de cofetarie proaspete, piscoturi si biscuit, produse de patiserie si de cofetarie conservate, zahar si produse conexe, cacao. ciocolata si produse zaharoase, paste fainoase, cafea, ceai si produse conexe, contimente si miiodenii. pioduse nuti itionale speciale, divei.se produse alimentare si produse uscate, sucuri si bauturi alcoolice .si nealcoolice, inclusiv apa minerala).De asemenea, pe perioada restrictiilor, aceasta nu se va aplica utilajelor CNAIR S.A. si a celor cu care CNAIR S.A. are contracte de lucrari in derulare.",DN22,"['30', '0', '78', '714']"
2.21,DN22,85+638,287+475,2024-07-18 11:00:00,2024-07-18 19:00:00, - ,"Restrictiile de circulatie pe perioada codului rosu de canicula.In data de 18 iulie, intre orele 11.00 si 19.00, autovehiculele cu masa maxima autorizata > 12 tone, nu vor putea circula pe sectoarele de autostrazi, drumuri expres si drumuri nationale cuprinse in judetele Calarasi, Constanta, Ialomita, Tulcea.","Sunt exceptate de la respectarea acestor restrictii:transporturile de persoanetransporturile de animale vii si de produse perisabile de origine animala si vegetalavehiculele care participa la interventii in caz de forta majoratransporturile funeraretransporturile postaletransporturile de echipamente de prim ajutortransporturi pentru distribuire de carburantitransporturile de marfuri sub temperatura controlatatransporturile pentru tractari vehicule avariatetransporturile pentru distribuirea de apa si hrana in zonele calamitatetransporturile cu vehicule specializate destinate prin constructie salubrizariitransporturile de apa imbuteliata si bauturi racoritoaretransporturile de produse provenite din exploatari agricoletransporturile militare implicate in exercitii multinationaletransporturile de produse alimentare diverse (produse de panificatie, produse de patiserie si de cofetarie proaspete, piscoturi si biscuiti, produse de patiserie si de cofetarie conservate, zahar si produse conexe, cacao, ciocolata si produse zaharoase, paste fainoase, cafea, ceai si produse conexe, condimente si mirodenii, produse nutritionale speciale, diverse produse alimentare si produse uscate, sucuri si bauturi alcoolice si nealcoolice, inclusiv apa minerala).De asemenea, pe perioada restrictiilor, aceasta nu se va aplica utilajelor CNAIR S.A. si a celor cu care CNAIR S.A. are raporturi juridice in derulare.",DN22,"['85', '638', '287', '475']"
2.22,DN22A,0+000,86+925,2024-07-18 11:00:00,2024-07-18 19:00:00, - ,"Restrictiile de circulatie pe perioada codului rosu de canicula.In data de 18 iulie, intre orele 11.00 si 19.00, autovehiculele cu masa maxima autorizata > 12 tone, nu vor putea circula pe sectoarele de autostrazi, drumuri expres si drumuri nationale cuprinse in judetele Calarasi, Constanta, Ialomita, Tulcea.","Sunt exceptate de la respectarea acestor restrictii:transporturile de persoanetransporturile de animale vii si de produse perisabile de origine animala si vegetalavehiculele care participa la interventii in caz de forta majoratransporturile funeraretransporturile postaletransporturile de echipamente de prim ajutortransporturi pentru distribuire de carburantitransporturile de marfuri sub temperatura controlatatransporturile pentru tractari vehicule avariatetransporturile pentru distribuirea de apa si hrana in zonele calamitatetransporturile cu vehicule specializate destinate prin constructie salubrizariitransporturile de apa imbuteliata si bauturi racoritoaretransporturile de produse provenite din exploatari agricoletransporturile militare implicate in exercitii multinationaletransporturile de produse alimentare diverse (produse de panificatie, produse de patiserie si de cofetarie proaspete, piscoturi si biscuiti, produse de patiserie si de cofetarie conservate, zahar si produse conexe, cacao, ciocolata si produse zaharoase, paste fainoase, cafea, ceai si produse conexe, condimente si mirodenii, produse nutritionale speciale, diverse produse alimentare si produse uscate, sucuri si bauturi alcoolice si nealcoolice, inclusiv apa minerala).De asemenea, pe perioada restrictiilor, aceasta nu se va aplica utilajelor CNAIR S.A. si a celor cu care CNAIR S.A. are raporturi juridice in derulare.",DN22A,"['0', '0', '86', '925']"
2.23,DN22B,2+200,11+645,2024-07-18 11:00:00,2024-07-18 19:00:00, - ,"In data de 18.07.2024 , in intervalul orar 11:00 - 19:00, se vor institui restrictii de circulatie pentru autovehiculele cu masa totala maxima autorizata mai mare de 12 t,  acestea nu vor putea circula pe sectoarele de autostrazi, drumuri expres si drumuri nationale cuprinse in judetul BRAILA.Aceste restrictii sunt instituite ca urmare a avertizarilor de canicula emise de catre Administratia Nationala de Meteorologie in data de 17.07.2024 , Cod Rosu , jud. BRAILA (temperaturi extreme 38 - 41 Grade Celsius) - val de caldura persistent, canicula, disconfort termic deosebit de accentuat.","Se vor institui restrictii de tonaj pentru M.T.M.A > 12 tone, cu exceptia :transporturilor de persoanetransporturilor de animale vii si de produse perisabile de origine animala si vegetala:vehicule care participi la interventii in caz de forta majoratransporturi funeraretransporturi postaletransporturi de echipamente de prim ajutortransporturi pentru distribuire de carburantitransporturi de marfuri sub temperatura controlata:transporturi pentru tractari vehicule avariatetransporturi pentru distribuirea de apa si hrana in zonele calainitatetransporturi cu vehicule specializate destinate prin constructie salubrizariitransporturi apa imbuteliata si bauturi racoritoaretransporturi produse provenite din exploatari agricoletransporturi militare implicate in exercitii multinationaleproduse alimentare diverse (produse de panificatie, produse de patiserie si de cofetarie proaspete, piscoturi si biscuit, produse de patiserie si de cofetarie conservate, zahar si produse conexe, cacao. ciocolata si produse zaharoase, paste fainoase, cafea, ceai si produse conexe, contimente si miiodenii. pioduse nuti itionale speciale, divei.se produse alimentare si produse uscate, sucuri si bauturi alcoolice .si nealcoolice, inclusiv apa minerala).De asemenea, pe perioada restrictiilor, aceasta nu se va aplica utilajelor CNAIR S.A. si a celor cu care CNAIR S.A. are contracte de lucrari in derulare.",DN22B,"['2', '200', '11', '645']"
2.24,DN22C,0+000,43+849,2024-07-18 11:00:00,2024-07-18 19:00:00, - ,"Restrictiile de circulatie pe perioada codului rosu de canicula.In data de 18 iulie, intre orele 11.00 si 19.00, autovehiculele cu masa maxima autorizata > 12 tone, nu vor putea circula pe sectoarele de autostrazi, drumuri expres si drumuri nationale cuprinse in judetele Calarasi, Constanta, Ialomita, Tulcea.","Sunt exceptate de la respectarea acestor restrictii:transporturile de persoanetransporturile de animale vii si de produse perisabile de origine animala si vegetalavehiculele care participa la interventii in caz de forta majoratransporturile funeraretransporturile postaletransporturile de echipamente de prim ajutortransporturi pentru distribuire de carburantitransporturile de marfuri sub temperatura controlatatransporturile pentru tractari vehicule avariatetransporturile pentru distribuirea de apa si hrana in zonele calamitatetransporturile cu vehicule specializate destinate prin constructie salubrizariitransporturile de apa imbuteliata si bauturi racoritoaretransporturile de produse provenite din exploatari agricoletransporturile militare implicate in exercitii multinationaletransporturile de produse alimentare diverse (produse de panificatie, produse de patiserie si de cofetarie proaspete, piscoturi si biscuiti, produse de patiserie si de cofetarie conservate, zahar si produse conexe, cacao, ciocolata si produse zaharoase, paste fainoase, cafea, ceai si produse conexe, condimente si mirodenii, produse nutritionale speciale, diverse produse alimentare si produse uscate, sucuri si bauturi alcoolice si nealcoolice, inclusiv apa minerala).De asemenea, pe perioada restrictiilor, aceasta nu se va aplica utilajelor CNAIR S.A. si a celor cu care CNAIR S.A. are raporturi juridice in derulare.",DN22C,"['0', '0', '43', '849']"
2.25,DN22D,0+000,81+325,2024-07-18 11:00:00,2024-07-18 19:00:00, - ,"Restrictiile de circulatie pe perioada codului rosu de canicula.In data de 18 iulie, intre orele 11.00 si 19.00, autovehiculele cu masa maxima autorizata > 12 tone, nu vor putea circula pe sectoarele de autostrazi, drumuri expres si drumuri nationale cuprinse in judetele Calarasi, Constanta, Ialomita, Tulcea.","Sunt exceptate de la respectarea acestor restrictii:transporturile de persoanetransporturile de animale vii si de produse perisabile de origine animala si vegetalavehiculele care participa la interventii in caz de forta majoratransporturile funeraretransporturile postaletransporturile de echipamente de prim ajutortransporturi pentru distribuire de carburantitransporturile de marfuri sub temperatura controlatatransporturile pentru tractari vehicule avariatetransporturile pentru distribuirea de apa si hrana in zonele calamitatetransporturile cu vehicule specializate destinate prin constructie salubrizariitransporturile de apa imbuteliata si bauturi racoritoaretransporturile de produse provenite din exploatari agricoletransporturile militare implicate in exercitii multinationaletransporturile de produse alimentare diverse (produse de panificatie, produse de patiserie si de cofetarie proaspete, piscoturi si biscuiti, produse de patiserie si de cofetarie conservate, zahar si produse conexe, cacao, ciocolata si produse zaharoase, paste fainoase, cafea, ceai si produse conexe, condimente si mirodenii, produse nutritionale speciale, diverse produse alimentare si produse uscate, sucuri si bauturi alcoolice si nealcoolice, inclusiv apa minerala).De asemenea, pe perioada restrictiilor, aceasta nu se va aplica utilajelor CNAIR S.A. si a celor cu care CNAIR S.A. are raporturi juridice in derulare.",DN22D,"['0', '0', '81', '325']"
2.26,DN22E,0+000,14+000,2024-07-18 11:00:00,2024-07-18 19:00:00, - ,"Restrictiile de circulatie pe perioada codului rosu de canicula.In data de 18 iulie, intre orele 11.00 si 19.00, autovehiculele cu masa maxima autorizata > 12 tone, nu vor putea circula pe sectoarele de autostrazi, drumuri expres si drumuri nationale cuprinse in judetele Calarasi, Constanta, Ialomita, Tulcea.","Sunt exceptate de la respectarea acestor restrictii:transporturile de persoanetransporturile de animale vii si de produse perisabile de origine animala si vegetalavehiculele care participa la interventii in caz de forta majoratransporturile funeraretransporturile postaletransporturile de echipamente de prim ajutortransporturi pentru distribuire de carburantitransporturile de marfuri sub temperatura controlatatransporturile pentru tractari vehicule avariatetransporturile pentru distribuirea de apa si hrana in zonele calamitatetransporturile cu vehicule specializate destinate prin constructie salubrizariitransporturile de apa imbuteliata si bauturi racoritoaretransporturile de produse provenite din exploatari agricoletransporturile militare implicate in exercitii multinationaletransporturile de produse alimentare diverse (produse de panificatie, produse de patiserie si de cofetarie proaspete, piscoturi si biscuiti, produse de patiserie si de cofetarie conservate, zahar si produse conexe, cacao, ciocolata si produse zaharoase, paste fainoase, cafea, ceai si produse conexe, condimente si mirodenii, produse nutritionale speciale, diverse produse alimentare si produse uscate, sucuri si bauturi alcoolice si nealcoolice, inclusiv apa minerala).De asemenea, pe perioada restrictiilor, aceasta nu se va aplica utilajelor CNAIR S.A. si a celor cu care CNAIR S.A. are raporturi juridice in derulare.",DN22E,"['0', '0', '14', '0']"
2.27,DN22F,0+000,13+906,2024-07-18 11:00:00,2024-07-18 19:00:00, - ,"Restrictiile de circulatie pe perioada codului rosu de canicula.In data de 18 iulie, intre orele 11.00 si 19.00, autovehiculele cu masa maxima autorizata > 12 tone, nu vor putea circula pe sectoarele de autostrazi, drumuri expres si drumuri nationale cuprinse in judetele Calarasi, Constanta, Ialomita, Tulcea.","Sunt exceptate de la respectarea acestor restrictii:transporturile de persoanetransporturile de animale vii si de produse perisabile de origine animala si vegetalavehiculele care participa la interventii in caz de forta majoratransporturile funeraretransporturile postaletransporturile de echipamente de prim ajutortransporturi pentru distribuire de carburantitransporturile de marfuri sub temperatura controlatatransporturile pentru tractari vehicule avariatetransporturile pentru distribuirea de apa si hrana in zonele calamitatetransporturile cu vehicule specializate destinate prin constructie salubrizariitransporturile de apa imbuteliata si bauturi racoritoaretransporturile de produse provenite din exploatari agricoletransporturile militare implicate in exercitii multinationaletransporturile de produse alimentare diverse (produse de panificatie, produse de patiserie si de cofetarie proaspete, piscoturi si biscuiti, produse de patiserie si de cofetarie conservate, zahar si produse conexe, cacao, ciocolata si produse zaharoase, paste fainoase, cafea, ceai si produse conexe, condimente si mirodenii, produse nutritionale speciale, diverse produse alimentare si produse uscate, sucuri si bauturi alcoolice si nealcoolice, inclusiv apa minerala).De asemenea, pe perioada restrictiilor, aceasta nu se va aplica utilajelor CNAIR S.A. si a celor cu care CNAIR S.A. are raporturi juridice in derulare.",DN22F,"['0', '0', '13', '906']"
