coords,culoare,raza,categorie,name,Judet,UAT,Km,Cauza,Masuri de remediere,lat,long,date_start,date_end,km_start,km_end,Localitati,Tip Lucrari,Variante de ocolire
"[24.03030014, 44.74890137]",0,7,5.0,Circulatie ingreunata  DN67B,VL;,Măciuca;,91+788 - 91+828,Alunecare de teren cu afectare corp drum.,"Circulatia se desfasoara pe 1/2 cale , semnalizat cu indicatoare rutiere si restrictie viteza de 30 km/h .",24.03030014,44.74890137,01-06-2025 00:00,30-11-2026 16:00,91+788,91+828,OVESELU (VL) -,,
"[27.3930562, 46.20245385]",0,7,5.0,Circulatie ingreunata  DN11A,BC;,Podu Turcului;,67+350 - 67+380,Cedare terasament corp drum.,Latime - 3m. Viteza - 30km/h.,27.3930562,46.20245385,01-01-2026 09:38,31-12-2026 23:59,67+350,67+380,CABESTI (BC) - CABESTI (BC),,
"[26.74674737, 45.90855167]",0,7,5.0,Circulatie ingreunata  DN2D,VN;,Bârsești;,52+662 - 52+677,Alunecare teren cu antrenare terasament corp drum.,Circulatie ingreunata.,26.74674737,45.90855167,01-01-2026 10:00,31-12-2026 23:59,52+662,52+677,BARSESTI (VN) - BARSESTI (VN),,
"[23.63229942, 44.87820053]",0,7,5.0,Circulatie ingreunata  DN67B,GJ;,Licurici;,24+403,Pod degradat.,Circulatia se desfasoara pe 1/2 cale . Zona este semnalizata corespunzator .,23.63229942,44.87820053,01-06-2025 00:00,30-04-2027 16:00,,,FRUMUSEI (GJ) -,,
"[22.67205585, 45.02192819]",0,7,5.0,Circulatie ingreunata  DN67D,MH;,Obîrșia-Cloșani;,58+800,Degradare terasament si parapet.,Circulatia se desfasoara pe 1/2 cale . Zona este semnalizata corespunzator .,22.67205585,45.02192819,31-07-2025 00:00,30-04-2027 16:00,,,OBARSIA-CLOSANI (MH) - GODEANU (GODEANU) (MH),,
"[25.99580569, 47.14375187]",0,7,5.0,Circulatie ingreunata  DN15B,NT;,Poiana Teiului;,7+280,Placa carosabila de beton a cedat intre grinzile principale ale podului.,"Circulatia este deschisa pe un fir alternativ si dirijat,pentru toate categoriile de autovehicule.",25.99580569,47.14375187,15-06-2025 23:20,15-10-2026 09:00,,,PETRU VODA (NT) - PETRU VODA (NT),,
"[21.73675427, 45.04825724]",0,7,5.0,Circulatie ingreunata  DN57B,CS;,Oravița;,4+950,"In urma ploilor abundente, s-a produs o alunecare de teren.",Circulatia rutiera este ingreunata pe 1/2 cale.,21.73675427,45.04825724,30-06-2026 21:00,31-12-2026 12:00,,,ORAVITA (CS) - ORAVITA (CS),,
"[22.70108613, 45.13828437]",0,7,5.0,Circulatie ingreunata  DN66A,GJ;,Padeș;,93+050,Alunecare de teren cu afectare corp drum.,Circulatia se desfasoara pe 1/2 cale. Zona este semnalizata corespunzator.,22.70108613,45.13828437,01-10-2025 00:00,30-04-2027 16:00,,,CERNA SAT (GJ) -,,
"[22.69707279, 45.13721186]",0,7,5.0,Circulatie ingreunata  DN66A,GJ;,Padeș;,93+800,Alunecare de teren cu afectare corp drum.,Circulatia se defasoara pe 1/2 cale . Zona este semnalizata corespunzator .,22.69707279,45.13721186,28-02-2026 00:00,30-04-2027 16:00,,,CERNA SAT (GJ) -,,
"[24.30310059, 44.66260147]",0,7,5.0,Circulatie ingreunata  DN67B,OT;,Verguleasa;,119+236,"Podul peste raul Olt nu prezinta siguranta pentru autovehiculele cu MTMA > 7,5 TO .","Circulati a rutiera se desfasoara pe1/2 cale , dirijata prin semafoare. Ruta ocolitoare pentru autovehiculele cu MTMA > 7,5 TO - DN 64 - DJ 678C - DJ 678 - DN 67B.",24.30310059,44.66260147,01-07-2025 00:00,31-07-2026 16:00,,,DRAGASANI (VL) - POGANU (OT),,
"[24.34175395, 45.2488953]",0,7,5.0,Circulatie ingreunata  DN7CC,VL;,Călimănești;,3+150,Alunecare de teren,"Circulatia se desfasoara alternativ pe 1/2 cale, cu restictionare pe sensul Sibiu - Rm. Valcea, dirijata cu semafoare si semnalizata cu balize, indicatoare rutiere si lampi cu iluminare intermitenta.",24.34175395,45.2488953,01-06-2025 00:00,30-11-2026 16:00,,,JIBLEA NOUA (VL) - PAUSA (VL),,
"[23.73630222, 44.52582927]",0,7,5.0,Circulatie ingreunata  DN6B,DJ;,Melinești;,24+183,Pod degradat.,"Circulatia rutiera se desfasoara ingreunat pe 1/2 cale, dirijata prin indicatoare rutiere, iar accesul autovehiculelor cu MTMA > 25 to este interzis.",23.73630222,44.52582927,01-07-2025 00:00,31-07-2026 16:00,,,NEGOIESTI (DJ) -,,
"[27.25085573, 46.17995095]",0,7,5.0,Circulatie ingreunata  DN11A,VN;,Homocea;,52+025,Ravenari terasament corp drum.,Latime - 4m,27.25085573,46.17995095,01-01-2026 09:28,31-12-2026 23:59,,,LESPEZI (VN) - LESPEZI (VN),,
"[26.96820068, 45.96419907]",0,7,5.0,Circulatie ingreunata  DN2L,VN;,Răcoasa;,27+750,Pod de beton degradat.,Masa - 30t. Viteza - 30km/h.,26.96820068,45.96419907,01-01-2026 09:40,31-12-2026 23:59,,,VARNITA (VN) - VARNITA (VN),,
"[26.94809914, 45.98350143]",0,7,5.0,Circulatie ingreunata  DN2L,VN;,Răcoasa;,30+480,Prabusire podet boltit.,Latime - 3m. Viteza - 50km/h.,26.94809914,45.98350143,01-01-2026 09:42,31-12-2026 23:59,,,VARNITA (VN) - VARNITA (VN),,
"[26.80571603, 45.56267963]",0,7,5.0,Circulatie ingreunata  DN2N,VN;,Chiojdeni;,45+190,Surpare parte carosabila pod.,"Latime - 3,5m.",26.80571603,45.56267963,01-01-2026 09:50,31-12-2026 23:59,,,CHIOJDENI (VN) - CHIOJDENI (VN),,
"[26.76463522, 45.58503305]",0,7,5.0,Circulatie ingreunata  DN2N,VN;,Jitia;,51+300,Surpare parte carosabila.,Latime - 3m. Viteza - 30km/h. Tonaj - 25t.,26.76463522,45.58503305,01-01-2026 09:55,31-12-2026 23:59,,,JITIA (VN) - JITIA (VN),,
"[26.75891053, 45.58641533]",0,7,5.0,Circulatie ingreunata  DN2N,VN;,Jitia;,51+800,Prabusire sfert con culee Cl,Latime - 3m. Tonaj - 25t.,26.75891053,45.58641533,01-01-2026 09:58,31-12-2026 23:59,,,JITIA (VN) - JITIA (VN),,
"[26.85435599, 45.78229399]",0,7,5.0,Circulatie ingreunata  DN2M,VN;,Reghiu;,30+853,Spalarea umpluturii sfertului de con.,Circulatie ingreunata.,26.85435599,45.78229399,01-01-2026 10:04,31-12-2026 23:59,,,REGHIU (VN) - REGHIU (VN),,
"[26.49516742, 46.95321658]",0,7,5.0,Circulatie ingreunata  DN15D,NT;,Girov;,9+510,"Au inceput lucrarile la podul de pe DN 15D, Girov, judetul Neamt. Traficul se desfasoara, semaforizat, pe varianta provizorie, cu restrictie de tonaj de 30. In aceasta dimineata, a fost data in trafic varianta provizorie peste paraul Cracau, aferenta podului de pe DN 15D, km 9+510, Girov, judetul Ne...
<cite>*Pentru descrierea completa consultati sectiunea drumuri.</cite>",,26.49516742,46.95321658,01-07-2025 09:00,30-07-2026 10:00,,,GIROV (NT) - GIROV (NT),,
"[26.30410004, 45.41550064]",2,7,6.0,Lucrari  DN10,BZ;,Nehoiu;,67+190,,,26.30410004,45.41550064,14-03-2026 16:29,31-07-2026 17:00,,,NEHOIU (BZ) - NEHOIU (BZ),"Punerea in siguranta a traficului auto si pietonal pe tronsonul DN10, km 67+190, peste Nehoiu la Nehoiu, oras Nehoiu, jud. Buzau","Circulatie pietonala - inchisa(stanga). Circulatie autoturisme - ingreunata
Intre km 67+090 - km 67+280: restrictie de tonaj (MTMA<30 tone) si limitarea vitezei la 30 km/h
Drum ingustat, circulatie pe o singura banda, prioritate sens Buzau - Brasov
Intre km 67+127 - km 67+212: limitarea vit...
<cite>*Pentru descrierea completa consultati sectiunea drumuri.</cite>"
"[22.61688731, 45.04180384]",0,7,5.0,Circulatie ingreunata  DN67D,MH;,Obîrșia-Cloșani;,70+790,Zid de sprijin rupt.,"Circulatia rutiera se desfasoara pe 1/2 cale, semnalizata cu indicatoare rutiere.",22.61688731,45.04180384,31-07-2025 00:00,28-04-2027 16:00,,,GODEANU (GODEANU) (MH) -,,
"[27.73581084, 45.49882243]",2,7,6.0,Lucrari  DN25,GL;,Piscu;,48+542,,,27.73581084,45.49882243,29-12-2025 00:00,31-12-2026 23:59,,,PISCU (GL) -,"Se instituie restrictii de circulatie pe podul peste paraul Suhurlui, comuna Piscu, judetul Galati.
Masura este luata in urma unei expertize tehnice care a constatat degradari ale structurii si prabusirea consolelor de trotuar.","Pentru siguranta tuturor participantilor la trafic, au fost dispuse urmatoarele modificari:
- Limitare de tonaj: Maximum 15 tone (inlocuieste vechea restrictie de 30 tone).
- Limitare de viteza: Maximum 5 km/h pe sectorul podului.

Rute ocolitoare:
Rugam conducatorii vehiculelor cu ma...
<cite>*Pentru descrierea completa consultati sectiunea drumuri.</cite>"
"[22.76845097, 44.49443355]",0,7,5.0,Circulatie ingreunata  DN56A,MH;,Hinova;,64+100,Alunecare de teren cu afectare corp drum.,Circulatia rutiera se desfasoara pe 1/2 cale . Zona este smnalizata corespunzator .,22.76845097,44.49443355,03-02-2026 09:30,31-07-2026 16:00,,,ROGOVA (MH) - HINOVA (MH),,
"[23.0437877, 45.83570064]",2,7,6.0,Lucrari  DN7,HD;,Simeria;,377+200,,,23.0437877,45.83570064,29-05-2026 12:00,16-11-2026 12:00,,,SIMERIA VECHE (HD) -,"Pe DN 7, in localitatea Simeria Veche (judetul Hunedoara), au inceput lucrari de intretinere periodica la podul peste raul Strei.
Interventiile vizeaza reparatii si modernizari la structura podului, partea carosabila, trotuare, parapete, sistemul de scurgere a apelor, zonele de acces si albia ra...
<cite>*Pentru descrierea completa consultati sectiunea drumuri.</cite>","Pe durata lucrarilor, circulatia rutiera se va desfasura alternativ, pe un singur sens, fiind dirijata cu semafor temporar."
"[25.7763089, 44.1906101]",2,7,6.0,Lucrari  DN6,GR;,Ghimpați;,41+400,,,25.7763089,44.1906101,13-06-2026 08:00,13-09-2026 23:59,,,GHIMPATI (GR) - GHIMPATI (GR),"DN 6 km 41+400. Calea 1. Sens Bucuresti - Alexandria. Incepand cu data de 13 iunie 2026 ora 08:00, pe o perioada de aproximativ 3 luni, traficul rutier se desfasoara alternativ, pe un sens, pe DN 6, in localitatea Ghimpati, judetul Giurgiu, unde se efectueaza lucrari de reparatii la podul amplasat l...
<cite>*Pentru descrierea completa consultati sectiunea drumuri.</cite>","Traficul rutier se desfasoara alternativ, prin semaforizare, dar si dirijata cu piloti de circulatie."
"[27.28822577, 45.07538908]",2,7,1.1,Lucrari de scurta durata  DN2B,BR;,Surdila-Greci;,47+000,Se executa lucrari de amenajare sens giratoriu la intersectia cu DJ203.,"Circulatia se desfasoara alternativ, dirijata cu piloti de circulatie.",27.28822577,45.07538908,30-06-2026 07:30,30-06-2026 18:00,,,FAUREI (BR) - FAUREI (BR),,
"[23.59562064, 45.96546905]",2,7,1.1,Lucrari de scurta durata  A1,AB;,Sebeș;,305+880,Pe Calea 1 se desfasoara lucrari - reparatii rosturi de dilatatie.,"Pe banda 1 si banda de urgenta se circula, iar banda 2 este restrictionata .",23.59562064,45.96546905,24-06-2026 08:00,04-07-2026 16:00,,,SEBES (AB) - SEBES (AB),,
"[23.70730909, 45.92223264]",2,7,1.1,Lucrari de scurta durata  A1,AB;,Șpring;,293+600,"Eveniment rutier : Lucrari - Reparatii si inlocuire rosturi de dilatatie, se estimeaza reluarea normala a circulatiei in data de 06.07.2026 ora 16:00","Se circula pe B2, iar BU si B1 sunt restrictionate",23.70730909,45.92223264,26-06-2026 09:00,06-07-2026 16:00,,,CUNTA (AB) - CUNTA (AB),,
