title,link_url,angajator,tip,publicat,expira,locatie_name,locatie_url,dosar
Bibliotecar școlar,bibliotecar-scolar/,"Școala Gimnazială Cleja, judeţul Bacău","Funcție contractuală, Instituții locale, Funcții de execuție",31/08/2023,20/09/2023,Bacău,Bacău,Temporar
"Sef birou financiar contabilitate, sef birou RUNOS, SEF BIROU APROVIZIONARE, TRANSPORT,ADMINISTRATIV",sef-birou-financiar-contabilitate-sef-birou-runos-sef-birou-aprovizionare-transportadministrativ/,sPITALUL CLINIC DE URGENTA DE CHIRURGIE PLASTICA REPARATORIE SI ARSURI,"Funcție contractuală, Instituții locale, Funcții de conducere",31/08/2023,14/09/2023,Bucureşti,Bucureşti,Permanent
marinar,marinar-2/,Direcția Județeană de Administrare a Domeniului Public și Privat Călărași,"Funcție contractuală, Instituții județene, Funcții de execuție",31/08/2023,14/09/2023,Călăraşi,Călăraşi,Permanent
BUCĂTAR-MUNCITOR CALIFICAT-1 POST,bucatar-muncitor-calificat-1-post/,"liceul Tehnologic ""Alexandru vlahuţă"" Podu Turcului","Funcție contractuală, Instituții locale, Funcții de execuție",31/08/2023,4/09/2023,Bacău,Bacău,Temporar
administrator financiar debutant S,administrator-financiar-debutant-s/,Universitatea  „Dunărea de Jos” din Galaţi ,"Funcție contractuală, Instituții locale, Funcții de execuție",31/08/2023,7/09/2023,Galaţi,Galaţi,Temporar
"Expert, grad 2",expert-grad-2/,Direcţia Judeţeană de Statistică Vaslui ,"Funcție contractuală, Instituții județene, Funcții de execuție",31/08/2023,14/09/2023,Vaslui,Vaslui,Temporar
"muncitor calificat bucătărie (0,5 normă)",muncitor-calificat-bucatarie-05-norma/,CENTRUL ȘCOLAR PENTRU EDUCAȚIE INCLUZIVĂ ”CONSTANTIN PUFAN” TIMIȘOARA,"Funcție contractuală, Instituții locale, Funcții de execuție",31/08/2023,7/09/2023,Timiş,Timiş,Temporar
Spălătoreasă/lenjereasă,spalatoreasa-lenjereasa-3/,"Gradinița cu Program Prelungit și Program Normal Crai Nou, Ploiești, județul Prahova","Funcție contractuală, Instituții locale, Funcții de execuție",31/08/2023,14/09/2023,Prahova,Prahova,Permanent
șofer autosanitară,sofer-autosanitara-12/,Serviciul Județean de Ambulanță Hunedoara,"Funcție contractuală, Instituții județene, Funcții de execuție",31/08/2023,13/09/2023,Hunedoara,Hunedoara,Permanent
administrator financiar,administrator-financiar-113/,Universitatea de medicina și Farmacie „Iuliu Hațieganu” Cluj-napoca ,"Funcție contractuală, Instituții locale, Funcții de execuție",31/08/2023,14/09/2023,Cluj,Cluj,Permanent
ÎNGRIJITOR,ingrijitor-344/,PARCHETUL DE PE LÂNGĂ TRIBUNALUL MEHEDINŢI,"Funcție contractuală, Guvern și ministere, Funcții de execuție",31/08/2023,13/09/2023,Mehedinţi,Mehedinţi,Permanent
ingrijitor,ingrijitor-355/,UAT MUNICIPIUL BLAJ ,"Funcție contractuală, Primării, Funcții de execuție",31/08/2023,14/09/2023,Alba,Alba,Permanent
îngrijitor,ingrijitor-331/," Școala Gimnazială nr. 1, Frumușani, com. Frumușani, județul Călărași","Funcție contractuală, Instituții locale, Funcții de execuție",31/08/2023,14/09/2023,Călăraşi,Călăraşi,Permanent
ANALIST (PROGRAMATOR) AJUTOR,analist-programator-ajutor/,LiCEUL TEORETIC DIMITRIE BOLINTINEANU,"Funcție contractuală, Instituții locale, Funcții de execuție",31/08/2023,14/09/2023,Bucureşti,Bucureşti,Temporar
"Ingrijitor la domiciliu 5 posturi – Angajare pe perioada determinată, până la data de 30.11.2024",ingrijitor-la-domiciliu-5-posturi-angajare-pe-perioada-determinata-pana-la-data-de-30-11-2024/,"COMUNA MAGURA, JUDEȚUL BACAU","Funcție contractuală, Primării, Funcții de execuție",31/08/2023,8/09/2023,Bacău,Bacău,Temporar
"Contabil, referent, referent de specialitate, registrator medical principal",contabilreferentreferent-de-specialitate-registrator-medical-principal/,"Spitalul Clinic de Urgenţă de Chirurgie Plastică Reparatorie și Arsuri, București","Funcție contractuală, Instituții locale, Funcții de execuție",31/08/2023,14/09/2023,Bucureşti,Bucureşti,Permanent
"Muncitor calificat I bucătar,electrician, Muncitor necalificat, Manipulant bunuri",muncitor-calificat-i-bucatarelectrician-muncitor-necalificat-manipulant-bunuri/,"Spitalul Clinic Județean De Urgență Cluj-Napoca, Județul Cluj","Funcție contractuală, Instituții județene, Funcții de execuție",31/08/2023,14/09/2023,Cluj,Cluj,Permanent
Administrator patrimoniu,administrator-patrimoniu-50/,"Școala Gimnazială nr. 1 Frumușani,  jud. Călărași","Funcție contractuală, Instituții locale, Funcții de execuție",31/08/2023,14/09/2023,Călăraşi,Călăraşi,Permanent
Muncitor necalificat i,muncitor-necalificat-i-11/,"Serviciul Public de Salubrizare Cristian, județul Brașov","Funcție contractuală, Instituții locale, Funcții de execuție",31/08/2023,14/09/2023,Braşov,Braşov,Permanent
bucătar,bucatar-34/," Creșa Municipiului Alba Iulia, județul Alba","Funcție contractuală, Instituții locale, Funcții de execuție",31/08/2023,15/09/2023,Alba,Alba,Permanent
ASISTENT MEDICAL GENERALIST (pl)- perioada determinata,asistent-medical-generalist-pl-perioada-determinata/,CENTRUL REGIONAL DE TRANSFUZII SANGUINE CONSTANTA ,"Funcție contractuală, Instituții locale, Funcții de execuție",31/08/2023,8/09/2023,Constanţa,Constanţa,Temporar
"Casier, poz.10",casier-poz-10/,Universitatea tehnica „Gheorghe Asachi” din Iasi,"Funcție contractuală, Instituții locale, Funcții de execuție",31/08/2023,13/09/2023,Iaşi,Iaşi,Permanent
"2 asistenți medicali, îngrijitoare, brancardier",2-asistenti-medicali-ingrijitoare-brancardier/,"Spitalul Clinic de Urgenţă de Chirurgie Plastică Reparatorie și Arsuri, București","Funcție contractuală, Instituții locale, Funcții de execuție",31/08/2023,14/09/2023,Bucureşti,Bucureşti,Permanent
PAZNIC,paznic-89/,"Liceul Tehnologic „Lazăr Edeleanu”, Municipiul Ploieşti, județul Prahova","Funcție contractuală, Instituții locale, Funcții de execuție",31/08/2023,13/09/2023,Prahova,Prahova,Permanent
"muncitor calificat -zidar ,rosar-tencuitor conf cor.711205",muncitor-calificat-zidar-rosar-tencuitor-conf-cor-711205/,"PRIMARIA COMUNA CEPTURA,JUDETUL PRAHOVA","Funcție contractuală, Primării, Funcții de execuție",31/08/2023,15/09/2023,Prahova,Prahova,Permanent
"INGRIJITOR, MUNCITOR NECALIFICAT II",ingrijitor-muncitor-necalificat-ii/,DIRECTIA DE GOSPODARIE COMUNALA BECLEAN,"Funcție contractuală, Instituții locale, Funcții de execuție",31/08/2023,13/09/2023,Bistriţa-Năsăud,Bistriţa-Năsăud,Permanent
contabil,contabil-12/,"CONSILIUL LOCAL RUȘEȚU - SERVICIUL SALUBRIZARE, județul Buzău","Funcție contractuală, Instituții locale, Funcții de execuție",31/08/2023,14/09/2023,Buzău,Buzău,Permanent
Îngrijitor de copii și îngrijitor de clădiri,ingrijitor-de-copii-si-ingrijitor-de-cladiri/," Creșa Municipiului Alba Iulia, județul Alba","Funcție contractuală, Instituții locale, Funcții de execuție",31/08/2023,15/09/2023,Alba,Alba,Permanent
BUCĂTAR,bucatar-35/,COLEGIUL ECONOMIC GHEORGHE CHITU,"Funcție contractuală, Instituții locale, Funcții de execuție",31/08/2023,15/09/2023,Dolj,Dolj,Permanent
îngrijitor I 4 posturi,ingrijitor-i-4-posturi/,Liceul Tehnologic Nr. 1 din Comana,"Funcție contractuală, Instituții locale, Funcții de execuție",31/08/2023,12/09/2023,Giurgiu,Giurgiu,Permanent
"Secretar, administrator de patrimoniu",secretar-administrator-de-patrimoniu-2/,"Clubul Copiilor Sector 6, București","Funcție contractuală, Instituții naționale, Înalți funcționari publici",31/08/2023,15/09/2023,Bucureşti,Bucureşti,Permanent
"Secretar (2 posturi), Administrator (1 post), Îngrijitor (4 post), Informatician (1 post)",secretar-2-posturi-administrator-1-post-ingrijitor-4-post-informatician-1-post/,"Liceul Teoretic Ioan Petruș, Otopeni, județul Ilfov","Funcție contractuală, Instituții locale, Funcții de execuție",31/08/2023,14/09/2023,Ilfov,Ilfov,Permanent
inspector de specialitate II,inspector-de-specialitate-ii-7/,D.G.A.S.P.C. TIMIȘ,"Funcție contractuală, Instituții județene, Funcții de execuție",31/08/2023,13/09/2023,Timiş,Timiş,Permanent
funcții contractuale de execuție vacante din cadrul Direcției proiecte,functii-contractuale-de-executie-vacante-din-cadrul-directiei-proiecte/,"Municipiul Baia Mare, județul Maramureș","Funcție contractuală, Primării, Funcții de execuție",31/08/2023,13/09/2023,Maramureş,Maramureş,Temporar
inspector de specialitate,inspector-de-specialitate-58/,Școala Populară de arte și meserii sf. gheorghe,"Funcție contractuală, Instituții județene, Funcții de execuție",31/08/2023,14/09/2023,Covasna,Covasna,Permanent
"Muncitor calificat, treapta 1 COD COR 832201",muncitor-calificat-treapta-1-cod-cor-832201/,PRIMARIA COMUNEI POIENARII BURCHII,"Funcție contractuală, Primării, Funcții de execuție",31/08/2023,14/09/2023,Prahova,Prahova,Permanent
biolog principal specialitate hematologie,biolog-principal-specialitate-hematologie/,Centrul de Transfuzie Sanguină Sălaj,"Funcție contractuală, Instituții județene, Funcții de execuție",31/08/2023,14/09/2023,Sălaj,Sălaj,Permanent
Muncitor – Direcţia de Administrare Servicii Publice,muncitor-directia-de-administrare-servicii-publice-2/,Primaria oraşului Liteni,"Funcție contractuală, Primării, Funcții de execuție",31/08/2023,15/09/2023,Suceava,Suceava,Permanent
Muncitor – Direcţia de Administrare Servicii Publice,muncitor-directia-de-administrare-servicii-publice/,Primaria oraşului Liteni,"Funcție contractuală, Primării, Funcții de execuție",31/08/2023,15/09/2023,Suceava,Suceava,Permanent
BUCĂTAR CALIFICAT,bucatar-calificat-17/,"Grădinița cu Program Prelungit nr 21, județul Prahova","Funcție contractuală, Instituții locale, Funcții de execuție",31/08/2023,11/09/2023,Prahova,Prahova,Temporar
Secretar,secretar-54/,"Şcoala Gimnazială „Mihai Eminescu” Alba Iulia, județul Alba","Funcție contractuală, Instituții locale, Funcții de execuție",31/08/2023,15/09/2023,Alba,Alba,Permanent
INSTRUCTOR EDUCAȚIE EXTRAȘCOLARĂ,instructor-educatie-extrascolara/,"Liceul Teoretic Special „Iris"", Timișoara","Funcție contractuală, Instituții naționale, Funcții de execuție",31/08/2023,8/09/2023,Timiş,Timiş,Temporar
"asistent medical rediologie,fiziokinetoterapeut, 2 infirmiere",asistent-medical-rediologiefiziokinetoterapeut2-infirmiere/,"Spitalul Clinic de Urgenţă de Chirurgie Plastică Reparatorie și Arsuri, București","Funcție contractuală, Instituții locale, Funcții de execuție",31/08/2023,14/09/2023,Bucureşti,Bucureşti,Permanent
LENJEREASĂ,lenjereasa-2/,"Grădinița „Lumea copiilor”, Lupeni, județul Hunedoara","Funcție contractuală, Instituții locale, Funcții de execuție",31/08/2023,14/09/2023,Hunedoara,Hunedoara,Permanent
1 post de asistent social debutant în cadrul serviciului social “Servicii de îngrijiri la domiciliu,1-post-de-asistent-social-debutant-in-cadrul-serviciului-social-servicii-de-ingrijiri-la-domiciliu/,DIRECȚIA DE ASISTENȚĂ SOCIALĂ DEVA,"Funcție contractuală, Instituții locale, Funcții de execuție",31/08/2023,13/09/2023,Hunedoara,Hunedoara,Permanent
"Secretar, studii medii, perioada nedeterminata",secretar-studii-medii-perioada-nedeterminata/,Universitatea Tehnica din Cluj-Napoca,"Funcție contractuală, Instituții locale, Funcții de execuție",31/08/2023,14/09/2023,Cluj,Cluj,Permanent
șofer,sofer-66/,"Serviciul Public Transport Local de Persoane al Municipiului Adjud, județul Vrancea","Funcție contractuală, Instituții județene, Funcții de execuție",31/08/2023,14/09/2023,Vrancea,Vrancea,Permanent
Îngrijitor gradiniță,ingrijitor-gradinita-4/,Școala Gimnazială „Andrei Șaguna” Șura Mare,"Funcție contractuală, Instituții locale, Funcții de execuție",31/08/2023,15/09/2023,Sibiu,Sibiu,Permanent
Asistent medical generalist,asistent-medical-generalist-54/,Serviciul de Ambulanță Județean Constanța,"Funcție contractuală, Instituții județene, Funcții de execuție",31/08/2023,14/09/2023,Constanţa,Constanţa,Permanent
"Casier, poz.11",casier-poz-11/,Universitatea Tehnică „Gheorghe Asachi” din Iași,"Funcție contractuală, Instituții locale, Funcții de execuție",31/08/2023,13/09/2023,Iaşi,Iaşi,Permanent
Administrator patrimoniu,administrator-patrimoniu-49/,"Liceul Tehnologic Nr. 1, Cudalbi","Funcție contractuală, Instituții locale, Funcții de execuție",31/08/2023,14/09/2023,Galaţi,Galaţi,Permanent
îngrijitor I,ingrijitor-i-18/,școala gimnazială nr.10 sighetu marmației,"Funcție contractuală, Instituții județene, Funcții de execuție",31/08/2023,14/09/2023,Maramureş,Maramureş,Permanent
Consilier pentru afaceri europene asistent director – secretariat,consilier-pentru-afaceri-europene-asistent-director-secretariat-2/,"Ministerul Culturii - Unitatea de Management a Proiectului, București","Funcție contractuală, Guvern și ministere, Funcții de conducere",31/08/2023,14/09/2023,Bucureşti,Bucureşti,Nespecificat
Medic specialist MG/MF,medic-specialist-mg-mf/,"Colegiul Național Militar „Mihai Viteazul"", Alba Iulia, județul Alba","Funcție contractuală, Unități militare, Funcții de execuție",31/08/2023,14/09/2023,Alba,Alba,Permanent
Asistent medical,asistent-medical-31/,Creșa municipiului Alba iulia,"Funcție contractuală, Instituții locale, Funcții de execuție",31/08/2023,15/09/2023,Alba,Alba,Permanent
îngrijitoare,ingrijitoare-80/,"Institutul Naţional de Endocrinologie „C.I. Parhon”, București","Funcție contractuală, Instituții naționale, Funcții de execuție",31/08/2023,14/09/2023,Bucureşti,Bucureşti,Permanent
"EXPERT gradul 1a, EXPERT gradul 2, EXPERT debutant, INSPECTOR TEHNIC gradul 1A",expert-gradul-1a-expert-gradul-2-expert-debutant-inspector-tehnic-gradul-1a/,Autoritatea Feroviară Română-AFER,"Funcție contractuală, Instituții naționale, Funcții de execuție",30/08/2023,11/09/2023,Bucureşti,Bucureşti,Permanent
"EXPERT 1A/debutant, AUDITOR INT. 1A, CONS. JR. 2, REFERENT/OPERATOR 1A, ŞOFER/ FOCHIST/ ÎNGRIJitor",expert-1a-debutant-auditor-int-1a-cons-jr-2-referent-operator-1a-sofer-fochist-ingrijitor/,Autoritatea Feroviară Română-AFER,"Funcție contractuală, Instituții naționale, Funcții de execuție",30/08/2023,11/09/2023,Bucureşti,Bucureşti,Permanent
"EXPERT (S), gradul 1",expert-s-gradul-1/,Administrația Fondului Cultural Național,"Funcție contractuală, Instituții naționale, Funcții de execuție",30/08/2023,13/09/2023,Bucureşti,Bucureşti,Permanent
medic specialist specialitatea chirurgie generala,medic-specialist-specialitatea-chirurgie-generala-2/,spitalul universitar de urgenta Bucuresti,"Funcție contractuală, Instituții locale, Funcții de execuție",30/08/2023,13/09/2023,Bucureşti,Bucureşti,Permanent
"medici si medici rezidenti ultimul an ,specialitatea radiologie si imagistica medicala",medici-si-medici-rezidenti-ultimul-an-specialitatea-radiologie-si-imagistica-medicala/,spitalul universitar de urgenta Bucuresti,"Funcție contractuală, Instituții locale, Funcții de execuție",30/08/2023,13/09/2023,Bucureşti,Bucureşti,Permanent
DIRECTOR CREȘA,director-cresa/,"Primaria comunei Comloşu Mare, județul Timiș","Funcție contractuală, Primării, Funcții de conducere",30/08/2023,20/09/2023,Timiş,Timiş,Permanent
"medic specialist, specialitatea neurologie",medic-specialistspecialitatea-neuroligie/,Spitalul Universitar de Urgenţă Bucureşti,"Funcție contractuală, Instituții locale, Funcții de execuție",30/08/2023,13/09/2023,Bucureşti,Bucureşti,Permanent
"medic specialist, specialitatea anatomie patologică",medic-specialistspecialitatea-anatomie-patologica/,Spitalul Universitar de Urgenţă Bucureşti,"Funcție contractuală, Instituții locale, Funcții de execuție",30/08/2023,13/09/2023,Bucureşti,Bucureşti,Permanent
Două posturi medic specialist – specialitatea chirurgie cardiovasculară,doua-posturi-medic-specialist-specialitatea-chirurgie-cardiovasculara/,Spitalul Universitar de Urgenţă Bucureşti,"Funcție contractuală, Instituții locale, Funcții de execuție",30/08/2023,13/09/2023,Bucureşti,Bucureşti,Permanent
muncitor calificat  L M,muncitor-calificat-l-m/,Liceul tehnologic gheorghe miron costin constanta,"Funcție publică, Guvern și ministere, Funcții de execuție",30/08/2023,20/09/2023,Constanţa,Constanţa,Permanent
"consilier juridic, debutant",consilier-juridic-debutant/,"Căminul de Pensionari „Sf. Cuv. Parascheva”, Iași","Funcție contractuală, Instituții locale, Funcții de execuție",30/08/2023,13/09/2023,Iaşi,Iaşi,Permanent
administrator financiar contabil,administrator-financiar-contabil-20/,"Şcoala Gimnazială ,,Ștefan Luchian”, Moinești, județul Bacău","Funcție publică, Instituții locale, Funcții de execuție",30/08/2023,14/09/2023,Bacău,Bacău,Temporar
ASISTENT MEDICAL DEBUTANT,asistent-medical-debutant-9/,"UAT MUNICIPIUL BLAJ, județul Alba","Funcție contractuală, Primării, Funcții de execuție",30/08/2023,13/09/2023,Alba,Alba,Permanent
Șofer,sofer-70/,"COMUNA VALEA MARE , JUDEȚUL OLT","Funcție contractuală, Primării, Funcții de execuție",30/08/2023,13/09/2023,Olt,Olt,Permanent
muncitor necalificat,muncitor-necalificat-65/,cOMUNA BOROAIA,"Funcție contractuală, Primării, Funcții de execuție",30/08/2023,12/09/2023,Suceava,Suceava,Permanent
bibliotecar IA,bibliotecar-ia-2/,"Institutul de Speologie ""Emil Racoviță"", București","Funcție contractuală, Instituții naționale, Funcții de execuție",30/08/2023,6/09/2023,Bucureşti,Bucureşti,Temporar
"îngrijitor, post vacant, pe perioadă nedeterminată",ingrijitor-post-vacant-pe-perioada-nedeterminata-32/,"Școala Gimnazială Comuna Daesti,  județul Vâlcea, ","Funcție contractuală, Instituții locale, Funcții de execuție",30/08/2023,12/09/2023,Vâlcea,Vâlcea,Permanent
"şofer microbuz şcolar, post  vacant, pe perioadă nedeterminată",sofer-microbuz-scolar-post-vacant-pe-perioada-nedeterminata-3/,"Comuna Fildu De Jos , județul Sãlaj ","Funcție contractuală, Instituții locale, Funcții de execuție",30/08/2023,14/09/2023,Sălaj,Sălaj,Permanent
asistent medical generalist SAJ Galati,asistent-medical-generalist-saj-galati/,Serviciul de ambulanta judetean galati,"Funcție contractuală, Instituții județene, Funcții de execuție",30/08/2023,5/09/2023,Galaţi,Galaţi,Temporar
îngrijitor I,ingrijitor-i-17/,Școala Gimnazială Nr 5 Rm. Vâlcea,"Funcție contractuală, Instituții locale, Funcții de execuție",30/08/2023,13/09/2023,Vâlcea,Vâlcea,Permanent
fochist (0.50 normă),fochist-0-50-norma/,Școala Gimnazială Godinești,"Funcție contractuală, Instituții locale, Funcții de execuție",30/08/2023,13/09/2023,Gorj,Gorj,Permanent
administrator,administrator-29/,DIRECTIA GENERALĂ DE ASISTENȚĂ SOCIALĂ Constanța,"Funcție contractuală, Instituții locale, Funcții de execuție",30/08/2023,12/09/2023,Constanţa,Constanţa,Permanent
asistent medical medicina generala – 3 posturi,asistent-medical-medicina-generala-3-posturi/,SPITALUL CLINIC DE PEDIATRIE,"Funcție contractuală, Instituții locale, Funcții de execuție",30/08/2023,13/09/2023,Sibiu,Sibiu,Permanent
sef SVSU,sef-svsu-16/,Primaria comunei Bradulet,"Funcție contractuală, Primării, Funcții de execuție",30/08/2023,12/09/2023,Arges,Arges,Permanent
Asistent medical cu studii postliceale (PL),asistent-medical-cu-studii-postliceale-pl/,Institutul Clinic de Urologie si Transplant Renal Cluj-Napoca,"Funcție contractuală, Instituții locale, Funcții de execuție",30/08/2023,14/09/2023,Cluj,Cluj,Permanent
asistent medical cu studii postliceale,asistent-medical-cu-studii-postliceale/,DIRECTIA DE ASISTENTA SOCIALA FOCSANI,"Funcție contractuală, Instituții locale, Funcții de execuție",30/08/2023,12/09/2023,Vrancea,Vrancea,Permanent
"muncitor, post vacant, pe perioadă nedeterminată",muncitor-post-vacant-pe-perioada-nedeterminata-10/,"Școala Gimnazială Râșca,com. Râșca,  județul Suceava","Funcție contractuală, Instituții locale, Funcții de execuție",30/08/2023,14/09/2023,Suceava,Suceava,Permanent
"administrator patrimoniu (0,50 normă), muncitor calificat (0,50 normă), îngrijitor (0,25 normă)",administrator-patrimoniu-050-norma-muncitor-calificat-050-norma-ingrijitor-025-norma/,Școala Gimnazială Nr. 1 Durnești,"Funcție contractuală, Instituții locale, Funcții de execuție",30/08/2023,13/09/2023,Botoşani,Botoşani,Permanent
ÎNGRIJITOARE,ingrijitoare-81/,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.1, IAȘI","Funcție contractuală, Instituții locale, Funcții de execuție",30/08/2023,12/09/2023,Iaşi,Iaşi,Permanent
îngrijitor,ingrijitor-333/,ȘCOALA PROFESIONALĂ „DANUBIUS” TULCEA,"Funcție contractuală, Instituții naționale, Funcții de execuție",30/08/2023,13/09/2023,Tulcea,Tulcea,Permanent
expert debutant,expert-debutant-6/,Direcţia Judeţeană de Statistică Giurgiu ,"Funcție contractuală, Instituții județene, Funcții de execuție",30/08/2023,12/09/2023,Giurgiu,Giurgiu,Temporar
MECANIC,mecanic/,GRADINITA NR. 232,"Funcție contractuală, Instituții locale, Funcții de execuție",30/08/2023,15/09/2023,Bucureşti,Bucureşti,Permanent
ÎNGRIJITOR,ingrijitor-352/,ȘCOALA PROFESIONALĂ comuna bălțești,"Funcție contractuală, Instituții locale, Funcții de execuție",30/08/2023,18/09/2023,Prahova,Prahova,Permanent
"bibliotecar /Unitate de învățământ, 1 normă întreagă-perioada nedeterminata, studii superioare",bibliotecar-unitate-de-invatamant-1-norma-intreaga-perioada-nedeterminata-studii-superioare/,"Colegiul ""Spiru haret"", Municipiul Ploiesti, judetul Prahova","Funcție contractuală, Instituții locale, Funcții de execuție",30/08/2023,12/09/2023,Prahova,Prahova,Permanent
secretar S debutant  perioada determinata de 6 luni,secretar-s-debutant-perioada-determinata-de-6-luni/,universitatea ovidius din constanta,"Funcție contractuală, Instituții locale, Funcții de execuție",30/08/2023,6/09/2023,Constanţa,Constanţa,Temporar
muncitor necalificat,muncitor-necalificat-66/,PRIMARIA COMUNEI DOBARLAU,"Funcție contractuală, Primării, Funcții de execuție",30/08/2023,14/09/2023,Covasna,Covasna,Permanent
"farmacist primar,specialitatea farmacie clinica",farmacist-primarspecialitatea-farmacie-clinica/,spitalul universitar de urgenta Bucuresti,"Funcție contractuală, Instituții locale, Funcții de execuție",30/08/2023,13/09/2023,Bucureşti,Bucureşti,Permanent
Referent I (s),referent-i-s-2/,Casa de Cultura a Municipiului Lugoj ,"Funcție contractuală, Instituții locale, Funcții de execuție",30/08/2023,7/09/2023,Timiş,Timiş,Permanent
Economist S IA,economist-s-ia-4/,Muzeul Județean de Istorie Brașov,"Funcție contractuală, Instituții județene, Funcții de execuție",30/08/2023,11/09/2023,Braşov,Braşov,Permanent
ȘOFER,sofer-68/,INSPECTORATUL ȘCOLAR JUDEȚEAN NEAMȚ,"Funcție contractuală, Instituții județene, Funcții de execuție",30/08/2023,12/09/2023,Neamţ,Neamţ,Permanent
sofer,sofer-69/,"liceul tehologic turceni, judetul Gorj","Funcție contractuală, Instituții locale, Funcții de execuție",30/08/2023,12/09/2023,Gorj,Gorj,Permanent
"asistent social, îngrijitor",asistent-social-ingrijitor/,CENTRUL ȘCOLAR DE EDUCATIE INLUZIVĂ NR. 2 BISTRITA ,"Funcție contractuală, Instituții locale, Funcții de execuție",30/08/2023,8/09/2023,Bistriţa-Năsăud,Bistriţa-Năsăud,Temporar
referent II,referent-ii-5/,"Institutul de Speologie ""Emil Racoviță"", București","Funcție contractuală, Instituții naționale, Funcții de execuție",30/08/2023,6/09/2023,Bucureşti,Bucureşti,Temporar
"Inspector de specialitate, grad profesional debutant",inspector-de-specialitate-grad-profesional-debutant-3/,"Primăria Comunei Baldovinești, județul Olt","Funcție contractuală, Primării, Funcții de execuție",30/08/2023,12/09/2023,Olt,Olt,Permanent
bibliotecar,bibliotecar-43/," Școala Gimnazială Râșca, comuna Râșca, județul Suceava","Funcție contractuală, Instituții locale, Funcții de execuție",30/08/2023,14/09/2023,Suceava,Suceava,Permanent
îngrijitor,ingrijitor-324/,Comuna Sălățig ,"Funcție contractuală, Primării, Funcții de execuție",30/08/2023,13/09/2023,Sălaj,Sălaj,Permanent
"farmacist primar,specialitatea farmacie generala",farmacist-primarspecialitatea-farmacie-generala/,spitalul universitar de urgenta Bucuresti,"Funcție contractuală, Instituții locale, Funcții de execuție",30/08/2023,13/09/2023,Bucureşti,Bucureşti,Permanent
Muncitor 1,muncitor-1/,Liceul Teoretic comuna Periam,"Funcție contractuală, Instituții locale, Funcții de execuție",30/08/2023,20/09/2023,Timiş,Timiş,Permanent
mUNCITOR CALIFICAT 1m,muncitor-calificat-1m/,LICEUL TEHNOLOGIC BRATIANU DRAGASANI,"Funcție contractuală, Instituții locale, Nespecificat",30/08/2023,14/09/2023,Vâlcea,Vâlcea,Permanent
îngrijitor grupă de copii,ingrijitor-grupa-de-copii/,Grădinița cu Program Prelungit Pinochio,"Funcție contractuală, Instituții locale, Funcții de execuție",30/08/2023,13/09/2023,Braşov,Braşov,Permanent
"administrator financiar, post vacant, pe perioadă nedeterminată",administrator-financiar-post-vacant-pe-perioada-nedeterminata-14/,"Școala Gimnazială Nr.1 Dragu,Dragu,  județul Sălaj","Funcție contractuală, Instituții locale, Funcții de execuție",30/08/2023,13/09/2023,Sălaj,Sălaj,Permanent
"Model I, post vacant, pe perioadă nedeterminată",model-i-post-vacant-pe-perioada-nedeterminata/," Liceul De Artă ”Gheorghe Tattarescu”,  Focșani, județul Vrancea","Funcție contractuală, Instituții locale, Funcții de execuție",30/08/2023,13/09/2023,Vrancea,Vrancea,Permanent
SUPRAVEGHETOR DE NOAPTE/Cămin Unitate de învățământ- 1 post-perioada nedeterminata,supraveghetor-de-noapte-camin-unitate-de-invatamant-1-post-perioada-nedeterminata/,"Colegiul ""Spiru haret"", Municipiul Ploiesti, judetul Prahova","Funcție contractuală, Instituții locale, Funcții de execuție",30/08/2023,12/09/2023,Prahova,Prahova,Permanent
"muncitor întreținere, post vacant, pe perioadă nedeterminată;",muncitor-intretinere-post-vacant-pe-perioada-nedeterminata-5/,"Școala Gimnazială Râșca,  com. Râșca, , județul Suceava","Funcție contractuală, Instituții locale, Funcții de execuție",30/08/2023,14/09/2023,Suceava,Suceava,Permanent
consilier expert achizitii,consilier-expert-achizitii/,Ministerul Sănătății,"Funcție contractuală, Guvern și ministere, Funcții de execuție",30/08/2023,15/09/2023,Bucureşti,Bucureşti,Temporar
12 posturi medici specialişti,12-posturi-medici-specialisti/,"Spitalul Municipal Orşova, Orşova, judeţul Mehedinţi","Funcție contractuală, Instituții locale, Funcții de execuție",30/08/2023,20/09/2023,Mehedinţi,Mehedinţi,Permanent
infirmiera – 6 posturi,infirmiera-6-posturi/,SPITALUL CLINIC DE PEDIATRIE,"Funcție contractuală, Instituții locale, Funcții de execuție",30/08/2023,13/09/2023,Sibiu,Sibiu,Permanent
muncitor necalificat LL,muncitor-necalificat-ll/,"Comuna Bodoc,  Bodoc, județul Covasna","Funcție contractuală, Primării, Funcții de execuție",30/08/2023,12/09/2023,Covasna,Covasna,Permanent
paznic,paznic-83/,scoala profesională „danubius” tulcea,"Funcție contractuală, Instituții naționale, Funcții de execuție",30/08/2023,13/09/2023,Tulcea,Tulcea,Permanent
INFIRMIER,infirmier-10/,CENTRUL ȘCOLAR PENTRU EDUCAȚIE INCLUZIVĂ ”rUDOLF STEINER” HUNEDOARA,"Funcție contractuală, Instituții județene, Funcții de execuție",30/08/2023,12/09/2023,Hunedoara,Hunedoara,Temporar
