"localitate","judet","cod_judet","siruta","tip_localitate","lat","long","populatie","namecheck"
"Teasc","Dolj","DJ",74322,,"44.1645445232","23.8646074497",3049,"TEASC"
"Urzicuța","Dolj","DJ",74554,,"44.0135522329","23.5419076887",3048,"URICUTA"
"Banloc","Timis","TM",155591,,"45.3873626799","21.137929503",3037,"BANLOC"
"Slatina-Timiș","Caras-Severin","CS",54056,,"45.2607357807","22.2846170806",3035,"SLATINA-TIMIS"
"Godeni","Arges","AG",16551,,"45.2275338477","24.9852265766",3032,"GODENI"
"Belin","Covasna","CV",63866,,"45.9348468023","25.5737482871",3032,"BELIN"
"Roșiori","Bihor","BH",32187,,"47.2567720751","21.9520897447",3031,"ROSIORI"
"Petelea","Mures","MS",118799,,"46.7303108964","24.7100480778",3026,"PETELEA"
"Siminicea","Suceava","SV",150221,,"47.6994170335","26.4006217844",3025,"SIMINICEA"
"Hodod","Satu Mare","SM",137844,,"47.4025955595","23.0250178818",3024,"HODOD"
"Casimcea","Tulcea","TL",159963,,"44.7197551563","28.3802165758",3023,"CASIMCEA"
"Valea Danului","Arges","AG",19631,,"45.1782996484","24.6363796446",3021,"VALEA DANULUI"
"Măeriște","Salaj","SJ",142006,,"47.3255113082","22.7938423555",3020,"MAERISTE"
"Seleuș","Arad","AR",11995,,"46.3825124835","21.7111983068",3019,"SELEUS"
"Popești","Vrancea","VN",178901,,"45.5953293877","27.0791572479",3018,"POPESTI"
"Cetățeni","Arges","AG",15402,,"45.1913454632","25.2128307407",3017,"CETATENI"
"Dioști","Dolj","DJ",72052,,"44.1066956977","24.1839854103",3017,"DIOSTI"
"Sântimbru","Alba","AB",7384,,"46.1371742525","23.6512280352",3015,"SINTIMBRU"
"Pojorâta","Suceava","SV",149931,,"47.5240444447","25.4666778763",3015,"POJORITA"
"Prigoria","Gorj","GJ",81415,,"45.0707507691","23.6865259365",3013,"PRIGORIA"
"Vlăsinești","Botosani","BT",39792,,"47.9365942628","26.8878824487",3012,"VLASINESTI"
"Lucieni","Dambovita","DB",67773,,"44.8477651125","25.4418641073",3010,"LUCIENI"
"Calafindești","Suceava","SV",147580,,"47.8562226289","26.1259183577",3010,"CALAFINDESTI"
"Popești","Valcea","VL",172377,,"45.0067768204","24.0787088291",3010,"POPESTI"
"Șieu","Bistrita-Nasaud","BN",34645,,"47.0015424038","24.6091222795",3005,"SIEU"
"Cocorastii Colt","Prahova","PH",136241,,"44.8342512753","25.8993748989",3005,"COCORASTII COLT"
"Carașova","Caras-Severin","CS",51804,,"45.1985518208","21.8644089171",2998,"CARASOVA"
"Poienești","Vaslui","VS",165336,,"46.609430986","27.5401374198",2994,"POIENESTI"
"Chiochiș","Bistrita-Nasaud","BN",33015,,"46.9811111663","24.1777294305",2993,"CHIOCHIS"
"Acâș","Satu Mare","SM",136713,,"47.5390572298","22.7843354416",2993,"ACIS"
"Băbăița","Teleorman","TR",152038,,"44.1614994578","25.383310315",2993,"BABAITA"
"Pietrari","Valcea","VL",172340,,"45.1147598394","24.1114813519",2990,"PIETRARI"
"Grămești","Suceava","SV",148916,,"47.9128311615","26.1479972189",2988,"GRAMESTI"
"Cornereva","Caras-Severin","CS",52160,,"45.0646001097","22.4216656192",2987,"CORNEREVA"
"Devesel","Mehedinti","MH",111480,,"44.4727200175","22.6608073755",2986,"DEVESEL"
"Bughea de Sus","Arges","AG",20063,,"45.2981231938","25.0328353778",2984,"BUGHEA DE SUS"
"Șura Mică","Sibiu","SB",145792,,"45.8356289706","24.0531381464",2983,"SURA MICA"
"Cervenia","Teleorman","TR",152500,,"43.8358476925","25.4604992641",2983,"CERVENIA"
"Cârligele","Vrancea","VN",175732,,"45.6748004087","27.0810296194",2979,"CIRLIGELE"
"Aușeu","Bihor","BH",27212,,"47.036854965","22.4963927156",2977,"AUSEU"
"Bozieni","Neamt","NT",121876,,"46.841217639","27.1489676921",2976,"BOIENI"
"Crișeni","Salaj","SJ",140823,,"47.2337793213","23.0492384336",2974,"CRISENI"
"Olanu","Valcea","VL",171806,,"44.8679220773","24.2935146241",2974,"OLANU"
"Negri","Bacau","BC",23644,,"46.7072744803","26.9800365421",2972,"NEGRI"
"Nadeș","Mures","MS",118469,,"46.3206606933","24.7299510558",2972,"NADES"
"Costești","Vaslui","VS",163137,,"46.4977028152","27.7644950119",2971,"COSTESTI"
"Sărulești","Calarasi","CL",104886,,"44.4135475121","26.6462409691",2970,"SARULESTI"
"Giurgița","Dolj","DJ",72533,,"44.0173889559","23.6292506876",2967,"GIURGITA"
"Ciugud","Alba","AB",1071,,"46.0460644833","23.6128640066",2966,"CIUGUD"
"Poeni","Teleorman","TR",153696,,"44.3990757666","25.3455538373",2961,"POENI"
"Leșu","Bistrita-Nasaud","BN",33514,,"47.3121044668","24.7513628275",2960,"LESU"
"Doba","Satu Mare","SM",137611,,"47.7423594329","22.7137350842",2958,"DOBA"
"Loamneș","Sibiu","SB",144795,,"45.9444336669","24.0866185578",2957,"LOAMNES"
"Racovița","Sibiu","SB",145355,,"45.679069641","24.3475059832",2952,"RACOVITA"
"Nădrag","Timis","TM",157898,,"45.6502792027","22.1860117669",2946,"NADRAG"
"Cuzdrioara","Cluj","CJ",55062,,"47.1707226473","23.921417816",2945,"CUDRIOARA"
"Dragoș Vodă","Calarasi","CL",93539,,"44.4366948997","27.1631657925",2944,"DRAGOS VODA"
"Gavojdia","Timis","TM",157031,,"45.6146815221","22.0227937031",2943,"GAVOJDIA"
"Săvârșin","Arad","AR",11842,,"46.0145302069","22.2358408899",2942,"SAVIRSIN"
"Mărașu","Braila","BR",43493,,"44.8452454664","27.9689469799",2942,"MARASU"
"Vedea","Teleorman","TR",154852,,"44.0916585718","25.067365031",2942,"VEDEA"
"Drăgănești","Bihor","BH",29243,,"46.6292575153","22.3942831151",2936,"DRAGANESTI"
"Măureni","Caras-Severin","CS",53247,,"45.4078631553","21.5046755085",2936,"MAURENI"
"Mărtiniș","Harghita","HR",84923,,"46.232802836","25.3908976315",2936,"MARTINIS"
"Cozmești","Iasi","IS",96593,,"46.8750128749","27.9917249477",2933,"COMESTI"
"Berchisesti","Suceava","SV",151576,,"47.5230574461","26.0320687913",2932,"BERCHISESTI"
"Troianul","Teleorman","TR",154790,,"44.0025743506","25.0218181907",2931,"TROIANUL"
"Alexandru I. Cuza","Iasi","IS",95612,,"47.1317942059","26.8605996603",2929,"ALEXANDRU I. CUA"
"Saravale","Timis","TM",159455,,"46.0692906096","20.740850854",2929,"SARAVALE"
"Găiceana","Bacau","BC",22665,,"46.3300611937","27.2325936272",2925,"GAICEANA"
"Cociuba Mare","Bihor","BH",28763,,"46.7396103484","22.0004356948",2925,"COCIUBA MARE"
"Aliman","Constanta","CT",61005,,"44.1847266217","27.8555623476",2923,"ALIMAN"
"Țuglui","Dolj","DJ",74509,,"44.1875060624","23.8117644742",2923,"TUGLUI"
"Unțeni","Botosani","BT",39532,,"47.793913042","26.7795548911",2922,"UNTENI"
"Roșia Montană","Alba","AB",6761,,"46.3066866195","23.1337300925",2921,"ROSIA MONTANA"
"Gighera","Dolj","DJ",72463,,"43.8470729842","23.7992040565",2921,"GIGHERA"
"Gornet","Prahova","PH",133562,,"45.1181479915","26.0797806539",2920,"GORNET"
"Șugag","Alba","AB",8014,,"45.775562458","23.6271417203",2919,"SUGAG"
"Mândra","Brasov","BV",41417,,"45.8228088024","25.0487693462",2914,"MANDRA"
"Racovița","Timis","TM",158243,,"45.7007990478","21.6387279603",2913,"RACOVITA"
"Vișina","Olt","OT",129898,,"43.8661813694","24.4546922608",2909,"VISINA"
"Șepreuș","Arad","AR",12224,,"46.5712491324","21.7341744529",2908,"SEPREUS"
"Albeni","Gorj","GJ",78472,,"45.0292470831","23.6042603251",2907,"ALBENI"
"Ilișești","Suceava","SV",147660,,"47.6087767078","26.0506121808",2907,"ILISESTI"
"Șercaia","Brasov","BV",41818,,"45.8308427537","25.1389914541",2906,"SERCAIA"
"Dorna-Arini","Suceava","SV",148131,,"47.3430436681","25.4289684248",2901,"DORNA-ARINI"
"Vadu Izei","Maramures","MM",106648,,"47.8882115959","23.9320868564",2899,"VADU IEI"
"Solovăstru","Mures","MS",119590,,"46.7780853922","24.7737963156",2899,"SOLOVASTRU"
"Socond","Satu Mare","SM",138869,,"47.5612207186","22.9562531284",2899,"SOCOND"
"Pojejena","Caras-Severin","CS",53513,,"44.7716354464","21.5770586021",2898,"POJEJENA"
"Craiva","Arad","AR",10532,,"46.5832439539","21.9753343591",2894,"CRAIVA"
"Gheorghe Doja","Mures","MS",116983,,"46.4632782759","24.5112199408",2894,"GHEORGHE DOJA"
"Eșelnița","Mehedinti","MH",112245,,"44.699047401","22.3657726176",2893,"ESELNITA"
"Băile Govora","Valcea","VL",167641,,"45.0827009366","24.1694916735",2893,"BAILE GOVORA"
"Vlădeni","Dambovita","DB",179711,,"44.8755046764","25.7731825967",2893,"VLADENI"
"Cetate","Bistrita-Nasaud","BN",32884,,"47.110126177","24.6270860309",2891,"CETATE"
"Mereni","Teleorman","TR",153295,,"44.2321369652","25.6434630435",2891,"MERENI"
"Orlești","Valcea","VL",171879,,"44.7905929753","24.2325387845",2891,"ORLESTI"
"Șerbănești","Olt","OT",129246,,"44.3301054929","24.6927092333",2889,"SERBANESTI"
"Bogdand","Satu Mare","SM",137130,,"47.4146815422","22.9393971099",2888,"BOGDAND"
"Remetea","Bihor","BH",30719,,"46.7396079746","22.3493723368",2883,"REMETEA"
"Nușeni","Bistrita-Nasaud","BN",34075,,"47.0984410323","24.2026319467",2881,"NUSENI"
"Ograda","Ialomita","IL",179819,,"44.6145747266","27.5704688453",2881,"OGRADA"
"Dascălu","Ilfov","IF",102473,,"44.6018624039","26.2285051066",2880,"DASCALU"
"Reviga","Ialomita","IL",94269,,"44.7140872486","27.103747013",2879,"REVIGA"
"Gostavățu","Olt","OT",127144,,"44.0749854225","24.5372289779",2878,"GOSTAVATU"
"Pleșoiu","Olt","OT",128221,,"44.4663007105","24.2666372428",2877,"PLESOIU"
"Băbana","Arges","AG",14085,,"44.8907849116","24.7047046783",2876,"BABANA"
"Salcia","Mehedinti","MH",113493,,"44.1412406007","22.9304773398",2875,"SALCIA"
"Luciu","Buau","BZ",47300,,"44.970844648","27.0816607379",2874,"LUCIU"
"Plăieșii de Jos","Harghita","HR",85289,,"46.2282658642","26.1003288583",2873,"PLAIESII DE JOS"
"Dealu Morii","Bacau","BC",22237,,"46.3026128913","27.2975922299",2869,"DEALU MORII"
"Amzacea","Constanta","CT",63198,,"43.9583842624","28.3961815172",2869,"AMACEA"
"Remetea Chioarului","Maramures","MM",108491,,"47.527611534","23.5477992378",2869,"REMETEA CHIOARULUI"
"Scorțoasa","Buau","BZ",49313,,"45.3545420377","26.663460246",2866,"SCORTOASA"
"Meteș","Alba","AB",5577,,"46.0972930417","23.4248073433",2865,"METES"
"Tormac","Timis","TM",159035,,"45.5219061475","21.4940987075",2865,"TORMAC"
"Siculeni","Harghita","HR",85626,,"46.4353695447","25.7540861373",2864,"SICULENI"
"Valea Dragului","Giurgiu","GR",105776,,"44.2113540702","26.3068203736",2864,"VALEA DRAGULUI"
"Hinova","Mehedinti","MH",112076,,"44.5405868129","22.7780005202",2864,"HINOVA"
"Santa Mare","Botosani","BT",38893,,"47.6047661444","27.3534923933",2863,"SANTA MARE"
"Bogdănești","Bacau","BC",21560,,"46.2120465797","26.682082614",2861,"BOGDANESTI"
"Redea","Olt","OT",128524,,"44.0534453572","24.2971125495",2861,"REDEA"
"Dolhești","Iasi","IS",96904,,"46.8754469744","27.8965268449",2860,"DOLHESTI"
"Sânpetru de Câmpie","Mures","MS",119527,,"46.7158877195","24.2624284672",2860,"SINPETRU DE CIMPIE"
"Gălănești","Suceava","SV",148872,,"47.9118687031","25.8042680766",2860,"GALANESTI"
"Ungheni","Arges","AG",19560,,"44.4960488061","24.9621652344",2858,"UNGHENI"
"Pomezeu","Bihor","BH",30470,,"46.7942808196","22.2889792591",2858,"POMEEU"
"Vurpăr","Sibiu","SB",145998,,"45.8967197683","24.3431525216",2857,"VURPAR"
"Dorobanțu","Calarasi","CL",93441,,"44.2188493369","26.951093766",2855,"DOROBANTU"
"Grojdibodu","Olt","OT",127224,,"43.7573837052","24.2700610628",2855,"GROJDIBODU"
"Tufeni","Olt","OT",129585,,"44.3728193992","24.7966364451",2855,"TUFENI"
"Bretea Română","Hunedoara","HD",88644,,"45.6608497522","23.0173908844",2854,"BRETEA ROMANA"
"Oarja","Arges","AG",17824,,"44.7594926666","24.9771621346",2853,"OARJA"
"Hoceni","Vaslui","VS",164197,,"46.5400343558","28.0090347622",2853,"HOCENI"
"Morteni","Dambovita","DB",68253,,"44.6651431647","25.237802482",2852,"MORTENI"
"Crângeni","Teleorman","TR",152617,,"44.0227627133","24.7994526532",2851,"CRINGENI"
"Arpașu de Jos","Sibiu","SB",143959,,"45.7802289779","24.6271964367",2849,"ARPASU DE JOS"
"Gherghești","Vaslui","VS",163967,,"46.4892589537","27.5356813015",2846,"GHERGHESTI"
"Salva","Bistrita-Nasaud","BN",34397,,"47.3058648875","24.3555699338",2845,"SALVA"
"Vețel","Hunedoara","HD",91982,,"45.9020497095","22.7975055452",2844,"VETEL"
"Perșinari","Dambovita","DB",179935,,"44.8018540565","25.4987989759",2841,"PERSINARI"
"Nalbant","Tulcea","TL",160993,,"45.047556977","28.6173388829",2838,"NALBANT"
"Miclești","Vaslui","VS",164892,,"46.8223158149","27.8398790498",2838,"MICLESTI"
"Nuci","Ilfov","IF",104421,,"44.7209949791","26.2988311715",2837,"NUCI"
"Cuza Vodă","Galati","GL",77595,,"45.595953586","27.7926677274",2834,"CUA VODA"
"Corunca","Mures","MS",120487,,"46.5222595836","24.6206337681",2834,"CORUNCA"
"Mileanca","Botosani","BT",38321,,"48.090445777","26.6941332889",2833,"MILEANCA"
"Victor Vlad Delamarina","Timis","TM",159259,,"45.6422207696","21.8987202342",2832,"VICTOR VLAD DELAMARINA"
"Vitănești","Teleorman","TR",153776,,"44.0080831091","25.4218798258",2830,"VITANESTI"
"Hălmagiu","Arad","AR",11058,,"46.2694961275","22.598196283",2824,"HALMAGIU"
"Mădăraș","Bihor","BH",30014,,"46.8297454488","21.6796647074",2824,"MADARAS"
"Tazlău","Neamt","NT",124616,,"46.7209839472","26.4700300245",2822,"TALAU"
"Cândești","Dambovita","DB",66526,,"45.0861848607","25.2122845148",2820,"CINDESTI"
"Vrâncioaia","Vrancea","VN",178750,,"45.864592821","26.7300349377",2818,"VRINCIOAIA"
"Recea","Arges","AG",18411,,"44.5202867265","25.0320894059",2817,"RECEA"
"Pietroșani","Teleorman","TR",153589,,"43.713640469","25.6399829309",2816,"PIETROSANI"
"Bethausen","Timis","TM",155840,,"45.8360479638","21.9614821203",2814,"BETHAUSEN"
"Bunești","Valcea","VL",168960,,"45.1167584359","24.1896114914",2814,"BUNESTI"
"Vulturești","Arges","AG",20055,,"45.0661755992","25.0834742442",2811,"VULTURESTI"
"Bucoșnița","Caras-Severin","CS",51751,,"45.3012630281","22.2703095712",2810,"BUCOSNITA"
"Verguleasa","Olt","OT",129816,,"44.6463436484","24.3334167708",2809,"VERGULEASA"
"Vladimir","Gorj","GJ",82831,,"44.7894796585","23.5509934922",2807,"VLADIMIR"
"Secuieni","Harghita","HR",85582,,"46.2617309601","24.9745717597",2805,"SECUIENI"
"Lunca","Bihor","BH",29948,,"46.5254663085","22.4500445687",2804,"LUNCA"
"Berzasca","Caras-Severin","CS",51449,,"44.6471247275","21.9542759982",2802,"BERASCA"
"Ciceu","Harghita","HR",86461,,"46.4132806719","25.7820397816",2802,"CICEU"
"Pârteștii de Jos","Suceava","SV",149780,,"47.6404854108","25.9522866456",2802,"PIRTESTII DE JOS"
"Someș-Odorhei","Salaj","SJ",142710,,"47.3234527869","23.2681312234",2799,"SOMES-ODORHEI"
"Știubieni","Botosani","BT",39220,,"47.9756180552","26.7975927652",2798,"STIUBIENI"
"Roșiori","Braila","BR",43812,,"44.8061697465","27.3839141459",2795,"ROSIORI"
"Baru","Hunedoara","HD",87996,,"45.4721760372","23.162705477",2795,"BARU"
"Olcea","Bihor","BH",30229,,"46.6834191059","21.983964751",2793,"OLCEA"
"Rotunda","Olt","OT",128560,,"43.9842721467","24.3140222658",2793,"ROTUNDA"
"Vârtoape","Teleorman","TR",154932,,"44.1918169476","25.2002539521",2792,"VIRTOAPE"
"Ivești","Vaslui","VS",164543,,"46.1949231","27.5366988538",2791,"IVESTI"
"Constantin Daicoviciu","Caras-Severin","CS",51877,,"45.5457669136","22.1503941608",2790,"CONSTANTIN DAICOVICIU"
"Avrămești","Harghita","HR",83847,,"46.3355464307","25.0102498939",2790,"AVRAMESTI"
"Cârța","Harghita","HR",84102,,"46.5360698713","25.7619275917",2788,"CARTA"
"Cămărașu","Cluj","CJ",56522,,"46.789970142","24.1304648289",2787,"CAMARASU"
"Heleșteni","Iasi","IS",97465,,"47.2030320248","26.8775485111",2787,"HELESTENI"
"Creaca","Salaj","SJ",140672,,"47.19682031","23.2341981684",2785,"CREACA"
"Sălățig","Salaj","SJ",142550,,"47.3660234773","23.139748942",2785,"SALATIG"
"Unirea","Calarasi","CL",94651,,"44.2577518454","27.5968740213",2784,"UNIREA"
"Poiana Cristei","Vrancea","VN",177263,,"45.6549946969","26.9998571856",2784,"POIANA CRISTEI"
"Năpradea","Salaj","SJ",142177,,"47.3646528329","23.3185055421",2783,"NAPRADEA"
"Ciolănești","Teleorman","TR",152528,,"44.304858917","25.0891304635",2783,"CIOLANESTI"
"Polovragi","Gorj","GJ",81380,,"45.1746745775","23.8050557383",2782,"POLOVRAGI"
"Broșteni","Mehedinti","MH",110875,,"44.7590706307","22.9873458683",2782,"BROSTENI"
"Răușeni","Botosani","BT",38679,,"47.5650079306","27.2140337511",2781,"RAUSENI"
"Izvoru Bârzii","Mehedinti","MH",112469,,"44.7091283126","22.6772882046",2781,"IVORU BIRII"
"Dumbrava","Timis","TM",156767,,"45.8239848707","22.1185992677",2781,"DUMBRAVA"
"Bălăcița","Mehedinti","MH",110535,,"44.385461811","23.1260980411",2780,"BALACITA"
"Brânceni","Teleorman","TR",152252,,"43.8779182585","25.3971060531",2780,"BRINCENI"
"Zădăreni","Arad","AR",12938,,"46.1327382056","21.2182098638",2779,"ADARENI"
"Gura Caliței","Vrancea","VN",176338,,"45.5820230707","27.0269297399",2776,"GURA CALITEI"
"Bisoca","Buau","BZ",45245,,"45.5422325616","26.7064269636",2774,"BISOCA"
"Stroești","Valcea","VL",173533,,"45.0856152947","23.9111055824",2774,"STROESTI"
"Telești","Gorj","GJ",82396,,"44.9998084217","23.0822603449",2772,"TELESTI"
"Mahmudia","Tulcea","TL",160724,,"45.0858182353","29.0877500363",2772,"MAHMUDIA"
"Copăceni","Valcea","VL",169182,,"45.0034649253","23.9671376465",2770,"COPACENI"
"Unguraș","Cluj","CJ",59880,,"47.111780374","24.0510588876",2769,"UNGURAS"
"Vedea","Giurgiu","GR",105909,,"43.7821747417","25.7886006646",2769,"VEDEA"
"Valea Iașului","Arges","AG",19695,,"45.1864853213","24.7064122532",2768,"VALEA IASULUI"
"Piscu Vechi","Dolj","DJ",73665,,"43.8988349876","23.1647630701",2768,"PISCU VECHI"
"Berislăvești","Valcea","VL",168675,,"45.2513224916","24.4286501197",2767,"BERISLAVESTI"
"Borsec","Harghita","HR",83491,,"46.9655073181","25.5617263815",2766,"BORSEC"
"Cața","Brasov","BV",40768,,"46.0902271182","25.2811332429",2764,"CATA"
"Romos","Hunedoara","HD",90994,,"45.8406785","23.2764506056",2764,"ROMOS"
"Tulca","Bihor","BH",31841,,"46.7866651405","21.7749886329",2762,"TULCA"
"Văleni","Olt","OT",129763,,"44.2366270639","24.7859599181",2762,"VALENI"
"Mârșa","Giurgiu","GR",104225,,"44.3735466432","25.5597355585",2761,"MARSA"
"Breaza","Buau","BZ",45619,,"45.0915184652","26.5324506919",2758,"BREAA"
"Ghindărești","Constanta","CT",61826,,"44.6351983208","28.0319286169",2756,"GHINDARESTI"
"Apa","Satu Mare","SM",136802,,"47.762728374","23.1994946401",2756,"APA"
"Gălăteni","Teleorman","TR",153026,,"44.2273936212","25.3588632735",2754,"GALATENI"
"Costache Negri","Galati","GL",76111,,"45.7051796383","27.7234203484",2749,"COSTACHE NEGRI"
"Alexandru Odobescu","Calarasi","CL",94125,,"44.2860396782","27.0787676431",2749,"ALEXANDRU ODOBESCU"
"Măgura","Teleorman","TR",153240,,"44.0226330048","25.3952451002",2749,"MAGURA"
"Stoicănești","Olt","OT",129111,,"44.1856767104","24.6426696772",2748,"STOICANESTI"
"Urechești","Vrancea","VN",178279,,"45.6018073449","27.0714087826",2748,"URECHESTI"
"Hida","Salaj","SJ",141447,,"47.0617429923","23.3094355649",2747,"HIDA"
"Bunești","Suceava","SV",147465,,"47.525012825","26.2882591058",2747,"BUNESTI"
"Rebra","Bistrita-Nasaud","BN",34262,,"47.3258824794","24.4998444562",2746,"REBRA"
"Sohatu","Calarasi","CL",105222,,"44.3257167949","26.5017022139",2746,"SOHATU"
"Studina","Olt","OT",129184,,"43.9587692325","24.4160314965",2744,"STUDINA"
"Mihăileni","Harghita","HR",85074,,"46.4748990291","25.8321899646",2743,"MIHAILENI"
"Oteșani","Valcea","VL",171931,,"45.0789312311","24.0282150698",2743,"OTESANI"
"Lopadea Nouă","Alba","AB",5210,,"46.2909049749","23.8190141615",2742,"LOPADEA NOUA"
"Zărand","Arad","AR",12812,,"46.406923253","21.6507428188",2742,"ARAND"
"Oltenești","Vaslui","VS",165069,,"46.5840256486","27.9029454441",2741,"OLTENESTI"
"Tarcea","Bihor","BH",31565,,"47.4571594845","22.1749848348",2740,"TARCEA"
"Sarasău","Maramures","MM",106620,,"47.9551044245","23.8287351164",2740,"SARASAU"
"Salcia","Teleorman","TR",153936,,"43.9373421082","24.9237712083",2740,"SALCIA"
"Vârfurile","Arad","AR",12689,,"46.3054951446","22.5273778786",2738,"VIRFURILE"
"Afumați","Dolj","DJ",70520,,"44.0039289046","23.475364367",2738,"AFUMATI"
"Oltina","Constanta","CT",62486,,"44.1690424207","27.668178559",2737,"OLTINA"
"Frumușeni","Arad","AR",12920,,"46.1025189893","21.4616740196",2736,"FRUMUSENI"
"Marca","Salaj","SJ",141946,,"47.2142739739","22.5561793269",2736,"MARCA"
"Cermei","Arad","AR",10373,,"46.5483145624","21.8456767932",2735,"CERMEI"
"Bordei Verde","Braila","BR",42913,,"45.0664781464","27.5693749862",2735,"BORDEI VERDE"
"Groși","Maramures","MM",106363,,"47.6175423525","23.6120477055",2733,"GROSI"
"Ardusat","Maramures","MM",107001,,"47.6484509266","23.3696298008",2730,"ARDUSAT"
"Lunca Corbului","Arges","AG",16944,,"44.6837963513","24.7606317648",2725,"LUNCA CORBULUI"
"Crizbav","Brasov","BV",42456,,"45.8151493452","25.4671782098",2723,"CRIBAV"
"Coltău","Maramures","MM",179846,,"47.5983659932","23.5245879519",2721,"COLTAU"
"Jibert","Brasov","BV",41284,,"46.0031522527","25.0745859858",2719,"JIBERT"
"Cătunele","Gorj","GJ",79585,,"44.8644210998","22.9070652837",2716,"CATUNELE"
"Sinești","Ialomita","IL",105026,,"44.5666145403","26.3797412407",2716,"SINESTI"
"Derna","Bihor","BH",29038,,"47.2048539942","22.3078137866",2714,"DERNA"
"Șofronea","Arad","AR",9360,,"46.2783747357","21.3125472058",2713,"SOFRONEA"
"Pomârla","Botosani","BT",38544,,"48.0418285673","26.3180907751",2712,"POMIRLA"
"Gratia","Teleorman","TR",153062,,"44.4388715776","25.4479794773",2711,"GRATIA"
"Miloșești","Ialomita","IL",94045,,"44.7342403333","27.2317923155",2710,"MILOSESTI"
"Sâncel","Alba","AB",7348,,"46.2001188633","23.9457597708",2709,"SINCEL"
"Trivalea-Moșteni","Teleorman","TR",154754,,"44.2640102977","25.2418432069",2709,"TRIVALEA-MOSTENI"
"Drăgușeni","Botosani","BT",37173,,"48.0187962894","26.80655061",2707,"DRAGUSENI"
"Moravița","Timis","TM",157781,,"45.2578387264","21.2695870871",2707,"MORAVITA"
"Măgești","Bihor","BH",30069,,"47.0100562505","22.4507721878",2699,"MAGESTI"
"Fizeșu Gherlii","Cluj","CJ",57644,,"47.0252651238","23.9882159314",2699,"FIESU GHERLII"
"Bilbor","Harghita","HR",83936,,"47.0654438236","25.4923396617",2698,"BILBOR"
"Fitionești","Vrancea","VN",176150,,"45.9825313459","27.0593557188",2698,"FITIONESTI"
"Budureasa","Bihor","BH",27846,,"46.6791817745","22.4951739759",2696,"BUDUREASA"
"Orodel","Dolj","DJ",73503,,"44.2448183922","23.2479713099",2694,"ORODEL"
"Iecea Mare","Timis","TM",159428,,"45.8507422422","20.8930965059",2692,"IECEA MARE"
"Covăsinț","Arad","AR",10514,,"46.2057145487","21.6094429766",2690,"COVASINT"
"Bunești-Averești","Vaslui","VS",162924,,"46.7878569321","27.9922035415",2685,"BUNESTI-AVERESTI"
"Nicșeni","Botosani","BT",38456,,"47.8594606104","26.6365229738",2684,"NICSENI"
"Ghidfalău","Covasna","CV",64345,,"45.9037299093","25.8468431839",2684,"GHIDFALAU"
"Grădiștea","Valcea","VL",170346,,"44.8739280748","23.8236146353",2684,"GRADISTEA"
"Gălești","Mures","MS",116867,,"46.513582445","24.7595371939",2683,"GALESTI"
"Năsturelu","Teleorman","TR",153400,,"43.6714203384","25.4642105936",2682,"NASTURELU"
"Dobârceni","Botosani","BT",37100,,"47.8257718175","27.0657009931",2680,"DOBARCENI"
"Ciocile","Braila","BR",42968,,"44.8231354304","27.2469820787",2680,"CIOCILE"
"Brebeni","Olt","OT",125999,,"44.3758547971","24.4502553678",2679,"BREBENI"
"Obârșia","Olt","OT",127750,,"43.8876614474","24.3314659331",2679,"OBIRSIA"
"Păușești","Valcea","VL",171995,,"45.0691123058","24.1407073402",2678,"PAUSESTI"
"Brâncoveni","Olt","OT",126022,,"44.3131601776","24.3093239128",2676,"BRINCOVENI"
"Andrid","Satu Mare","SM",136768,,"47.5143249452","22.3382366539",2674,"ANDRID"
"Lupac","Caras-Severin","CS",53167,,"45.2838765088","21.8127578415",2671,"LUPAC"
"Gheorghe Doja","Ialomita","IL",93600,,"44.6133339616","27.1838765717",2671,"GHEORGHE DOJA"
"Dimitrie Cantemir","Vaslui","VS",164277,,"46.5093782761","28.05698217",2671,"DIMITRIE CANTEMIR"
"Șieuț","Bistrita-Nasaud","BN",34850,,"46.9770289543","24.6490887268",2670,"SIEUT"
"Dărăști-Ilfov","Ilfov","IF",102525,,"44.3091233055","26.0213919406",2670,"DARASTI-ILFOV"
"Logrești","Gorj","GJ",80766,,"44.8721218789","23.7139392456",2669,"LOGRESTI"
"Mihai Bravu","Tulcea","TL",160831,,"44.9480058319","28.6570236033",2669,"MIHAI BRAVU"
"Bunești","Brasov","BV",40704,,"46.1071211079","25.0642467817",2667,"BUNESTI"
"Malovăț","Mehedinti","MH",112664,,"44.7057471564","22.7296689577",2666,"MALOVAT"
"Schitu","Olt","OT",128659,,"44.3533352215","24.5696275242",2663,"SCHITU"
"Gura Ialomiței","Ialomita","IL",180046,,"44.7160786726","27.7530965443",2661,"GURA IALOMITEI"
"Dulcești","Neamt","NT",122463,,"46.9663859668","26.785529977",2659,"DULCESTI"
"Nufăru","Tulcea","TL",161053,,"45.1499475095","28.9206778288",2659,"NUFARU"
"Crucișor","Satu Mare","SM",137504,,"47.6939862574","23.2300101749",2658,"CRUCISOR"
"Lița","Teleorman","TR",151763,,"43.7954450515","24.8215726011",2658,"LITA"
"Mihăileni","Botosani","BT",38161,,"47.9648988081","26.1477134867",2657,"MIHAILENI"
"Dragoslavele","Arges","AG",16472,,"45.348012606","25.1692484197",2656,"DRAGOSLAVELE"
